"initial_alias","converted_alias","name","description","namespace"
"51545","ZNF581","ZNF581","zinc finger protein 581 [Source:HGNC Symbol;Acc:HGNC:25017]","ENTREZGENE_ACC"
"9960","USP3","USP3","ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626]","ENTREZGENE_ACC"
"6139","RPL17","RPL17","ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:10307]","ENTREZGENE_ACC"
"57820","CCNB1IP1","CCNB1IP1","cyclin B1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19437]","ENTREZGENE_ACC"
"5250","SLC25A3","SLC25A3","solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]","ENTREZGENE_ACC"
"8664","EIF3D","EIF3D","eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]","ENTREZGENE_ACC"
"140465","MYL6B","MYL6B","myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823]","ENTREZGENE_ACC"
"4904","YBX1","YBX1","Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]","ENTREZGENE_ACC"
"468","ATF4","ATF4","activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]","ENTREZGENE_ACC"
"6138","RPL15","RPL15","ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]","ENTREZGENE_ACC"
"4048","LTA4H","LTA4H","leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]","ENTREZGENE_ACC"
"28987","NOB1","NOB1","NIN1 (RPN12) binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]","ENTREZGENE_ACC"
"3326","HSP90AB1","HSP90AB1","heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]","ENTREZGENE_ACC"
"4736","RPL10A","RPL10A","ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]","ENTREZGENE_ACC"
"2091","FBL","FBL","fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]","ENTREZGENE_ACC"
"293","SLC25A6","SLC25A6","solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]","ENTREZGENE_ACC"
"6746","SSR2","SSR2","signal sequence receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:11324]","ENTREZGENE_ACC"
"26978","None","None","None",""
"3646","EIF3E","EIF3E","eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]","ENTREZGENE_ACC"
"8667","EIF3H","EIF3H","eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]","ENTREZGENE_ACC"
"2483","FRG1","FRG1","FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]","ENTREZGENE_ACC"
"1975","EIF4B","EIF4B","eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]","ENTREZGENE_ACC"
"8665","EIF3F","EIF3F","eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]","ENTREZGENE_ACC"
"6194","RPS6","RPS6","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]","ENTREZGENE_ACC"
"6146","RPL22","RPL22","ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]","ENTREZGENE_ACC"
"689","BTF3","BTF3","basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]","ENTREZGENE_ACC"
"819","CAMLG","CAMLG","calcium modulating ligand [Source:HGNC Symbol;Acc:HGNC:1471]","ENTREZGENE_ACC"
"517","ATP5MC2","ATP5MC2","ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]","ENTREZGENE_ACC"
"6125","RPL5","RPL5","ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]","ENTREZGENE_ACC"
"1974","EIF4A2","EIF4A2","eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]","ENTREZGENE_ACC"
"5859","QARS1","QARS1","glutaminyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9751]","ENTREZGENE_ACC"
"10541","ANP32B","ANP32B","acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]","ENTREZGENE_ACC"
"3615","IMPDH2","IMPDH2","inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]","ENTREZGENE_ACC"
"3178","HNRNPA1","HNRNPA1","heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]","ENTREZGENE_ACC"
"11179","ZNF277","ZNF277","zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070]","ENTREZGENE_ACC"
"8761","PABPC4","PABPC4","poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]","ENTREZGENE_ACC"
"8531","YBX3","YBX3","Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]","ENTREZGENE_ACC"
"5042","PABPC3","PABPC3","poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556]","ENTREZGENE_ACC"
"57570","TRMT5","TRMT5","tRNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:23141]","ENTREZGENE_ACC"
"51611","DPH5","DPH5","diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]","ENTREZGENE_ACC"
"26986","PABPC1","PABPC1","poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]","ENTREZGENE_ACC"
"84273","NOA1","NOA1","nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]","ENTREZGENE_ACC"
"51614","ERGIC3","ERGIC3","ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]","ENTREZGENE_ACC"
"27044","SND1","SND1","staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]","ENTREZGENE_ACC"
"6122","RPL3","RPL3","ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]","ENTREZGENE_ACC"
"1459","CSNK2A2","CSNK2A2","casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]","ENTREZGENE_ACC"
"51082","POLR1D","POLR1D","RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]","ENTREZGENE_ACC"
"25796","PGLS","PGLS","6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]","ENTREZGENE_ACC"
"55850","USE1","USE1","unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]","ENTREZGENE_ACC"
"8666","EIF3G","EIF3G","eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]","ENTREZGENE_ACC"
"1938","EEF2","EEF2","eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]","ENTREZGENE_ACC"
"1939","EIF2D","EIF2D","eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]","ENTREZGENE_ACC"
"84320","ACBD6","ACBD6","acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]","ENTREZGENE_ACC"
"728689","EIF3C","EIF3C","eukaryotic translation initiation factor 3 subunit C [Source:HGNC Symbol;Acc:HGNC:3279]","ENTREZGENE_ACC"
"728689","EIF3CL","EIF3CL","eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]","ENTREZGENE_ACC"
"4673","NAP1L1","NAP1L1","nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]","ENTREZGENE_ACC"
"10412","NSA2","NSA2","NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]","ENTREZGENE_ACC"
"23478","SEC11A","SEC11A","SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]","ENTREZGENE_ACC"
"6152","RPL24","RPL24","ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]","ENTREZGENE_ACC"
"51386","EIF3L","EIF3L","eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]","ENTREZGENE_ACC"
"7570","ZNF22","ZNF22","zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]","ENTREZGENE_ACC"
"6132","RPL8","RPL8","ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]","ENTREZGENE_ACC"
"3945","LDHB","LDHB","lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]","ENTREZGENE_ACC"
"6124","RPL4","RPL4","ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]","ENTREZGENE_ACC"
"26520","TIMM9","TIMM9","translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]","ENTREZGENE_ACC"
"26156","RSL1D1","RSL1D1","ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24534]","ENTREZGENE_ACC"
"54930","HAUS4","HAUS4","HAUS augmin like complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:20163]","ENTREZGENE_ACC"
"805","CALM2","CALM2","calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]","ENTREZGENE_ACC"
"3920","LAMP2","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]","ENTREZGENE_ACC"
"3295","HSD17B4","HSD17B4","hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]","ENTREZGENE_ACC"
"6451","SH3BGRL","SH3BGRL","SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]","ENTREZGENE_ACC"
"9236","CCPG1","CCPG1","cell cycle progression 1 [Source:HGNC Symbol;Acc:HGNC:24227]","ENTREZGENE_ACC"
"801","CALM1","CALM1","calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]","ENTREZGENE_ACC"
"6744","ITPRID2","ITPRID2","ITPR interacting domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11319]","ENTREZGENE_ACC"
"1362","CPD","CPD","carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]","ENTREZGENE_ACC"
"8804","CREG1","CREG1","cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]","ENTREZGENE_ACC"
"5264","PHYH","PHYH","phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]","ENTREZGENE_ACC"
"7844","RNF103","RNF103","ring finger protein 103 [Source:HGNC Symbol;Acc:HGNC:12859]","ENTREZGENE_ACC"
"9741","LAPTM4A","LAPTM4A","lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]","ENTREZGENE_ACC"
"8031","NCOA4","NCOA4","nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]","ENTREZGENE_ACC"
"9488","PIGB","PIGB","phosphatidylinositol glycan anchor biosynthesis class B [Source:HGNC Symbol;Acc:HGNC:8959]","ENTREZGENE_ACC"
"9528","TMEM59","TMEM59","transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239]","ENTREZGENE_ACC"
"10159","ATP6AP2","ATP6AP2","ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]","ENTREZGENE_ACC"
"81533","ITFG1","ITFG1","integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]","ENTREZGENE_ACC"
"55032","SLC35A5","SLC35A5","solute carrier family 35 member A5 [Source:HGNC Symbol;Acc:HGNC:20792]","ENTREZGENE_ACC"
"8895","CPNE3","CPNE3","copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]","ENTREZGENE_ACC"
"140609","NEK7","NEK7","NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]","ENTREZGENE_ACC"
"10313","RTN3","RTN3","reticulon 3 [Source:HGNC Symbol;Acc:HGNC:10469]","ENTREZGENE_ACC"
"10955","SERINC3","SERINC3","serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]","ENTREZGENE_ACC"
"427","ASAH1","ASAH1","N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]","ENTREZGENE_ACC"
"5862","RAB2A","RAB2A","RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]","ENTREZGENE_ACC"
"8417","STX7","STX7","syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]","ENTREZGENE_ACC"
"51170","HSD17B11","HSD17B11","hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]","ENTREZGENE_ACC"
"11342","RNF13","RNF13","ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]","ENTREZGENE_ACC"
"847","CAT","CAT","catalase [Source:HGNC Symbol;Acc:HGNC:1516]","ENTREZGENE_ACC"
"9375","TM9SF2","TM9SF2","transmembrane 9 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11865]","ENTREZGENE_ACC"
"55788","LMBRD1","LMBRD1","LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]","ENTREZGENE_ACC"
"1389","CREBL2","CREBL2","cAMP responsive element binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:2350]","ENTREZGENE_ACC"
"2589","GALNT1","GALNT1","polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]","ENTREZGENE_ACC"
"259230","SGMS1","SGMS1","sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]","ENTREZGENE_ACC"
"1486","CTBS","CTBS","chitobiase [Source:HGNC Symbol;Acc:HGNC:2496]","ENTREZGENE_ACC"
"310","ANXA7","ANXA7","annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]","ENTREZGENE_ACC"
"2744","GLS","GLS","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]","ENTREZGENE_ACC"
"10133","OPTN","OPTN","optineurin [Source:HGNC Symbol;Acc:HGNC:17142]","ENTREZGENE_ACC"
"51669","SARAF","SARAF","store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]","ENTREZGENE_ACC"
"1203","CLN5","CLN5","CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]","ENTREZGENE_ACC"
"2230","FDX1","FDX1","ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]","ENTREZGENE_ACC"
"51646","YPEL5","YPEL5","yippee like 5 [Source:HGNC Symbol;Acc:HGNC:18329]","ENTREZGENE_ACC"
"7905","REEP5","REEP5","receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]","ENTREZGENE_ACC"
"9867","PJA2","PJA2","praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]","ENTREZGENE_ACC"
"831","CAST","CAST","calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]","ENTREZGENE_ACC"
"10550","ARL6IP5","ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]","ENTREZGENE_ACC"
"10140","TOB1","TOB1","transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]","ENTREZGENE_ACC"
"5621","PRNP","PRNP","prion protein [Source:HGNC Symbol;Acc:HGNC:9449]","ENTREZGENE_ACC"
"90","ACVR1","ACVR1","activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]","ENTREZGENE_ACC"
"9445","ITM2B","ITM2B","integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174]","ENTREZGENE_ACC"
"4942","OAT","OAT","ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]","ENTREZGENE_ACC"
"51439","FAM8A1","FAM8A1","family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]","ENTREZGENE_ACC"
"2746","GLUD1","GLUD1","glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]","ENTREZGENE_ACC"
"665","BNIP3L","BNIP3L","BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]","ENTREZGENE_ACC"
"8724","SNX3","SNX3","sorting nexin 3 [Source:HGNC Symbol;Acc:HGNC:11174]","ENTREZGENE_ACC"
"8763","CD164","CD164","CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]","ENTREZGENE_ACC"
"950","SCARB2","SCARB2","scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]","ENTREZGENE_ACC"
"56674","TMEM9B","TMEM9B","TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]","ENTREZGENE_ACC"
"175","AGA","AGA","aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]","ENTREZGENE_ACC"
"6643","SNX2","SNX2","sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]","ENTREZGENE_ACC"
"27020","NPTN","NPTN","neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]","ENTREZGENE_ACC"
"57515","SERINC1","SERINC1","serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]","ENTREZGENE_ACC"
"23167","EFR3A","EFR3A","EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]","ENTREZGENE_ACC"
"26234","FBXL5","FBXL5","F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]","ENTREZGENE_ACC"
"2180","ACSL1","ACSL1","acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]","ENTREZGENE_ACC"
"6302","TSPAN31","TSPAN31","tetraspanin 31 [Source:HGNC Symbol;Acc:HGNC:10539]","ENTREZGENE_ACC"
"57142","RTN4","RTN4","reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]","ENTREZGENE_ACC"
"8887","TAX1BP1","TAX1BP1","Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]","ENTREZGENE_ACC"
"6990","DYNLT3","DYNLT3","dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]","ENTREZGENE_ACC"
"10024","TROAP","TROAP","trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]","ENTREZGENE_ACC"
"6502","SKP2","SKP2","S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]","ENTREZGENE_ACC"
"3833","KIFC1","KIFC1","kinesin family member C1 [Source:HGNC Symbol;Acc:HGNC:6389]","ENTREZGENE_ACC"
"3014","H2AX","H2AX","H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]","ENTREZGENE_ACC"
"79019","CENPM","CENPM","centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]","ENTREZGENE_ACC"
"9928","KIF14","KIF14","kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]","ENTREZGENE_ACC"
"8318","CDC45","CDC45","cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]","ENTREZGENE_ACC"
"9156","EXO1","EXO1","exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]","ENTREZGENE_ACC"
"81620","CDT1","CDT1","chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]","ENTREZGENE_ACC"
"83461","CDCA3","CDCA3","cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]","ENTREZGENE_ACC"
"332","BIRC5","BIRC5","baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]","ENTREZGENE_ACC"
"9232","PTTG1","PTTG1","PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]","ENTREZGENE_ACC"
"10535","RNASEH2A","RNASEH2A","ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]","ENTREZGENE_ACC"
"7298","TYMS","TYMS","thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]","ENTREZGENE_ACC"
"1163","CKS1B","CKS1B","CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]","ENTREZGENE_ACC"
"55635","DEPDC1","DEPDC1","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]","ENTREZGENE_ACC"
"55723","ASF1B","ASF1B","anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]","ENTREZGENE_ACC"
"1869","E2F1","E2F1","E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]","ENTREZGENE_ACC"
"4174","MCM5","MCM5","minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]","ENTREZGENE_ACC"
"4288","MKI67","MKI67","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]","ENTREZGENE_ACC"
"4171","MCM2","MCM2","minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]","ENTREZGENE_ACC"
"9700","ESPL1","ESPL1","extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]","ENTREZGENE_ACC"
"1033","CDKN3","CDKN3","cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]","ENTREZGENE_ACC"
"55355","HJURP","HJURP","Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]","ENTREZGENE_ACC"
"890","CCNA2","CCNA2","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","ENTREZGENE_ACC"
"9918","NCAPD2","NCAPD2","non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]","ENTREZGENE_ACC"
"10112","KIF20A","KIF20A","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]","ENTREZGENE_ACC"
"24137","KIF4A","KIF4A","kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]","ENTREZGENE_ACC"
"3978","LIG1","LIG1","DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]","ENTREZGENE_ACC"
"9133","CCNB2","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]","ENTREZGENE_ACC"
"51203","NUSAP1","NUSAP1","nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]","ENTREZGENE_ACC"
"23397","NCAPH","NCAPH","non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]","ENTREZGENE_ACC"
"22974","TPX2","TPX2","TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]","ENTREZGENE_ACC"
"11065","UBE2C","UBE2C","ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]","ENTREZGENE_ACC"
"2305","FOXM1","FOXM1","forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]","ENTREZGENE_ACC"
"1786","DNMT1","DNMT1","DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]","ENTREZGENE_ACC"
"10036","CHAF1A","CHAF1A","chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]","ENTREZGENE_ACC"
"4173","MCM4","MCM4","minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]","ENTREZGENE_ACC"
"641","BLM","BLM","BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]","ENTREZGENE_ACC"
"10615","SPAG5","SPAG5","sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]","ENTREZGENE_ACC"
"55143","CDCA8","CDCA8","cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]","ENTREZGENE_ACC"
"146909","KIF18B","KIF18B","kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]","ENTREZGENE_ACC"
"6790","AURKA","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]","ENTREZGENE_ACC"
"899","CCNF","CCNF","cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]","ENTREZGENE_ACC"
"4605","MYBL2","MYBL2","MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]","ENTREZGENE_ACC"
"10460","TACC3","TACC3","transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]","ENTREZGENE_ACC"
"991","CDC20","CDC20","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]","ENTREZGENE_ACC"
"701","BUB1B","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]","ENTREZGENE_ACC"
"4176","MCM7","MCM7","minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]","ENTREZGENE_ACC"
"51512","GTSE1","GTSE1","G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]","ENTREZGENE_ACC"
"1058","CENPA","CENPA","centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]","ENTREZGENE_ACC"
"2189","FANCG","FANCG","FA complementation group G [Source:HGNC Symbol;Acc:HGNC:3588]","ENTREZGENE_ACC"
"7468","NSD2","NSD2","nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]","ENTREZGENE_ACC"
"11004","KIF2C","KIF2C","kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]","ENTREZGENE_ACC"
"3149","HMGB3","HMGB3","high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]","ENTREZGENE_ACC"
"1841","DTYMK","DTYMK","deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]","ENTREZGENE_ACC"
"54478","PIMREG","PIMREG","PICALM interacting mitotic regulator [Source:HGNC Symbol;Acc:HGNC:25483]","ENTREZGENE_ACC"
"55872","PBK","PBK","PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]","ENTREZGENE_ACC"
"7083","TK1","TK1","thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]","ENTREZGENE_ACC"
"9212","AURKB","AURKB","aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]","ENTREZGENE_ACC"
"5347","PLK1","PLK1","polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]","ENTREZGENE_ACC"
"891","CCNB1","CCNB1","cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]","ENTREZGENE_ACC"
"51659","GINS2","GINS2","GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]","ENTREZGENE_ACC"
"6241","RRM2","RRM2","ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]","ENTREZGENE_ACC"
"4000","LMNA","LMNA","lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]","ENTREZGENE_ACC"
"83442","SH3BGRL3","SH3BGRL3","SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]","ENTREZGENE_ACC"
"832","CAPZB","CAPZB","capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]","ENTREZGENE_ACC"
"2316","FLNA","FLNA","filamin A [Source:HGNC Symbol;Acc:HGNC:3754]","ENTREZGENE_ACC"
"5552","SRGN","SRGN","serglycin [Source:HGNC Symbol;Acc:HGNC:9361]","ENTREZGENE_ACC"
"23406","COTL1","COTL1","coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]","ENTREZGENE_ACC"
