"initial_alias","converted_alias","name","description","namespace"
"ENSP00000317902","CEP57","CEP57","centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]","ENSP"
"ENSP00000262891","MARK4","MARK4","microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]","ENSP"
"ENSP00000380661","CEP250","CEP250","centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]","ENSP"
"ENSP00000278886","NINL","NINL","ninein like [Source:HGNC Symbol;Acc:HGNC:29163]","ENSP"
"ENSP00000365107","MASTL","MASTL","microtubule associated serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:19042]","ENSP"
"ENSP00000270861","PLK4","PLK4","polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]","ENSP"
"ENSP00000371308","CENPJ","CENPJ","centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]","ENSP"
"ENSP00000287482","SASS6","SASS6","SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]","ENSP"
"ENSP00000352572","PCNT","PCNT","pericentrin [Source:HGNC Symbol;Acc:HGNC:16068]","ENSP"
"ENSP00000344314","OFD1","OFD1","OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]","ENSP"
"ENSP00000295124","CCDC138","CCDC138","coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]","ENSP"
"ENSP00000355250","KIAA0753","KIAA0753","KIAA0753 [Source:HGNC Symbol;Acc:HGNC:29110]","ENSP"
"ENSP00000403293","FBXO43","FBXO43","F-box protein 43 [Source:HGNC Symbol;Acc:HGNC:28521]","ENSP"
"ENSP00000260383","TUBGCP4","TUBGCP4","tubulin gamma complex associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16691]","ENSP"
"ENSP00000336524","None","None","None",""
"ENSP00000257287","CEP135","CEP135","centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086]","ENSP"
"ENSP00000251413","TUBG1","TUBG1","tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]","ENSP"
"ENSP00000251412","TUBG2","TUBG2","tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]","ENSP"
"ENSP00000383145","SFI1","SFI1","SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]","ENSP"
"ENSP00000274289","PLK2","PLK2","polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]","ENSP"
"ENSP00000361275","PLK3","PLK3","polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]","ENSP"
"ENSP00000370337","CEP152","CEP152","centrosomal protein 152 [Source:HGNC Symbol;Acc:HGNC:29298]","ENSP"
"ENSP00000367049","MZT1","MZT1","mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830]","ENSP"
"ENSP00000320797","TUBD1","TUBD1","tubulin delta 1 [Source:HGNC Symbol;Acc:HGNC:16811]","ENSP"
"ENSP00000343818","CDK5RAP2","CDK5RAP2","CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]","ENSP"
"ENSP00000358363","PDE4DIP","PDE4DIP","phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]","ENSP"
"ENSP00000466248","PLK5","PLK5","polo like kinase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:27001]","ENSP"
"ENSP00000427550","CEP192","CEP192","centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]","ENSP"
"ENSP00000393583","CEP131","CEP131","centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]","ENSP"
"ENSP00000261475","PPP2R3C","PPP2R3C","protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]","ENSP"
"ENSP00000446093","TUBGCP2","TUBGCP2","tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]","ENSP"
"ENSP00000248846","TUBGCP6","TUBGCP6","tubulin gamma complex associated protein 6 [Source:HGNC Symbol;Acc:HGNC:18127]","ENSP"
"ENSP00000261965","TUBGCP3","TUBGCP3","tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]","ENSP"
"ENSP00000317144","PIBF1","PIBF1","progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]","ENSP"
"ENSP00000355812","CEP43","CEP43","centrosomal protein 43 [Source:HGNC Symbol;Acc:HGNC:17012]","ENSP"
"ENSP00000451211","NEDD1","NEDD1","NEDD1 gamma-tubulin ring complex targeting factor [Source:HGNC Symbol;Acc:HGNC:7723]","ENSP"
"ENSP00000358374","SCAF11","SCAF11","SR-related CTD associated factor 11 [Source:HGNC Symbol;Acc:HGNC:10784]","ENSP"
"ENSP00000280020","KIAA1328","KIAA1328","KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]","ENSP"
"ENSP00000353735","TOPORS","TOPORS","TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]","ENSP"
"ENSP00000479542","KIZ","KIZ","kizuna centrosomal protein [Source:HGNC Symbol;Acc:HGNC:15865]","ENSP"
"ENSP00000264935","CEP72","CEP72","centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]","ENSP"
"ENSP00000383808","CCDC18","CCDC18","coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:HGNC:30370]","ENSP"
"ENSP00000239830","CCDC77","CCDC77","coiled-coil domain containing 77 [Source:HGNC Symbol;Acc:HGNC:28203]","ENSP"
"ENSP00000355797","None","None","None",""
"ENSP00000380929","None","None","None",""
"ENSP00000480316","TUBGCP5","TUBGCP5","tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]","ENSP"
"ENSP00000358458","TENT5C","TENT5C","terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]","ENSP"
"ENSP00000420180","CCDC14","CCDC14","coiled-coil domain containing 14 [Source:HGNC Symbol;Acc:HGNC:25766]","ENSP"
"ENSP00000309836","CCDC13","CCDC13","coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]","ENSP"
"ENSP00000316681","CEP295","CEP295","centrosomal protein 295 [Source:HGNC Symbol;Acc:HGNC:29366]","ENSP"
"ENSP00000338013","CCDC183","CCDC183","coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:HGNC:28236]","ENSP"
"ENSP00000360944","STIL","STIL","STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]","ENSP"
"ENSP00000281871","MZT2B","MZT2B","mitotic spindle organizing protein 2B [Source:HGNC Symbol;Acc:HGNC:25886]","ENSP"
"ENSP00000365024","LY6G5B","LY6G5B","lymphocyte antigen 6 family member G5B [Source:HGNC Symbol;Acc:HGNC:13931]","ENSP"
"ENSP00000311500","MZT2A","MZT2A","mitotic spindle organizing protein 2A [Source:HGNC Symbol;Acc:HGNC:33187]","ENSP"
"ENSP00000255674","RTTN","RTTN","rotatin [Source:HGNC Symbol;Acc:HGNC:18654]","ENSP"
"ENSP00000312767","CEP295NL","CEP295NL","CEP295 N-terminal like [Source:HGNC Symbol;Acc:HGNC:44659]","ENSP"
"ENSP00000298832","TTLL5","TTLL5","tubulin tyrosine ligase like 5 [Source:HGNC Symbol;Acc:HGNC:19963]","ENSP"
"ENSP00000471454","CCDC61","CCDC61","coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629]","ENSP"
"ENSP00000424261","PTTG2","PTTG2","pituitary tumor-transforming 2 [Source:HGNC Symbol;Acc:HGNC:9691]","ENSP"
"ENSP00000365606","GRIPAP1","GRIPAP1","GRIP1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18706]","ENSP"
"ENSP00000387209","CEP19","CEP19","centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]","ENSP"
"ENSP00000362021","TMEM35A","TMEM35A","transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]","ENSP"
"ENSP00000362435","TMEM35B","TMEM35B","transmembrane protein 35B [Source:HGNC Symbol;Acc:HGNC:40021]","ENSP"
"ENSP00000378163","RPL34","RPL34","ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]","ENSP"
"ENSP00000418082","RPL37A","RPL37A","ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]","ENSP"
"ENSP00000397798","None","None","None",""
"ENSP00000386717","RPL31","RPL31","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]","ENSP"
"ENSP00000361076","RPL7A","RPL7A","ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]","ENSP"
"ENSP00000363384","ZNF593","ZNF593","zinc finger protein 593 [Source:HGNC Symbol;Acc:HGNC:30943]","ENSP"
"ENSP00000258821","TTC5","TTC5","tetratricopeptide repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:19274]","ENSP"
"ENSP00000362153","GNL2","GNL2","G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]","ENSP"
"ENSP00000375730","RPL13A","RPL13A","ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]","ENSP"
"ENSP00000274242","RPL37","RPL37","ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]","ENSP"
"ENSP00000266604","LLPH","LLPH","LLP homolog, long-term synaptic facilitation factor [Source:HGNC Symbol;Acc:HGNC:28229]","ENSP"
"ENSP00000346001","RPL3","RPL3","ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]","ENSP"
"ENSP00000419004","NMD3","NMD3","NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]","ENSP"
"ENSP00000480514","TMCO1","TMCO1","transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188]","ENSP"
"ENSP00000225430","RPL19","RPL19","ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]","ENSP"
"ENSP00000309334","RPL15","RPL15","ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]","ENSP"
"ENSP00000351380","TMA16","TMA16","translation machinery associated 16 homolog [Source:HGNC Symbol;Acc:HGNC:25638]","ENSP"
"ENSP00000418401","SRPRB","SRPRB","SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]","ENSP"
"ENSP00000355315","RPL39","RPL39","ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]","ENSP"
"ENSP00000302886","PA2G4","PA2G4","proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]","ENSP"
"ENSP00000328023","SRPRA","SRPRA","SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]","ENSP"
"ENSP00000265245","LSG1","LSG1","large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]","ENSP"
"ENSP00000413436","None","None","None",""
"ENSP00000222247","RPL18A","RPL18A","ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]","ENSP"
"ENSP00000363676","RPL11","RPL11","ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]","ENSP"
"ENSP00000418868","RPL29","RPL29","ribosomal protein L29 [Source:HGNC Symbol;Acc:HGNC:10331]","ENSP"
"ENSP00000274311","PELO","PELO","pelota mRNA surveillance and ribosome rescue factor [Source:HGNC Symbol;Acc:HGNC:8829]","ENSP"
"ENSP00000451818","SRP54","SRP54","signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]","ENSP"
"ENSP00000262584","RPL8","RPL8","ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]","ENSP"
"ENSP00000420311","RPL23","RPL23","ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]","ENSP"
"ENSP00000312066","SRP68","SRP68","signal recognition particle 68 [Source:HGNC Symbol;Acc:HGNC:11302]","ENSP"
"ENSP00000225726","CCDC47","CCDC47","coiled-coil domain containing 47 [Source:HGNC Symbol;Acc:HGNC:24856]","ENSP"
"ENSP00000342181","None","None","None",""
"ENSP00000424870","SRP19","SRP19","signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]","ENSP"
"ENSP00000296255","RPN1","RPN1","ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]","ENSP"
"ENSP00000246117","NCLN","NCLN","nicalin [Source:HGNC Symbol;Acc:HGNC:26923]","ENSP"
"ENSP00000369965","BTF3","BTF3","basic transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:1125]","ENSP"
"ENSP00000309830","RPL38","RPL38","ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]","ENSP"
"ENSP00000359345","RPL5","RPL5","ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]","ENSP"
"ENSP00000428085","RPL30","RPL30","ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]","ENSP"
"ENSP00000243253","SEC61A1","SEC61A1","SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]","ENSP"
"ENSP00000426167","OSTC","OSTC","oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]","ENSP"
"ENSP00000305230","SRP9","SRP9","signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]","ENSP"
"ENSP00000388337","SEC61G","SEC61G","SEC61 translocon subunit gamma [Source:HGNC Symbol;Acc:HGNC:18277]","ENSP"
"ENSP00000353741","ETF1","ETF1","eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]","ENSP"
"ENSP00000478783","LTN1","LTN1","listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]","ENSP"
"ENSP00000222284","TMEM147","TMEM147","transmembrane protein 147 [Source:HGNC Symbol;Acc:HGNC:30414]","ENSP"
"ENSP00000356811","HBS1L","HBS1L","HBS1 like translational GTPase [Source:HGNC Symbol;Acc:HGNC:4834]","ENSP"
"ENSP00000376472","STT3A","STT3A","STT3 oligosaccharyltransferase complex catalytic subunit A [Source:HGNC Symbol;Acc:HGNC:6172]","ENSP"
"ENSP00000310042","ZNF622","ZNF622","zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]","ENSP"
"ENSP00000389103","RPL23A","RPL23A","ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]","ENSP"
"ENSP00000298310","NEMF","NEMF","nuclear export mediator factor [Source:HGNC Symbol;Acc:HGNC:10663]","ENSP"
"ENSP00000216037","XBP1","XBP1","X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]","ENSP"
"ENSP00000346027","RPL21","RPL21","ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]","ENSP"
"ENSP00000419117","None","None","None",""
"ENSP00000400467","RPL9","RPL9","ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]","ENSP"
"ENSP00000346015","RPL27A","RPL27A","ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]","ENSP"
"ENSP00000223641","SEC61B","SEC61B","SEC61 translocon subunit beta [Source:HGNC Symbol;Acc:HGNC:16993]","ENSP"
"ENSP00000449770","None","None","None",""
"ENSP00000464813","RPL27","RPL27","ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]","ENSP"
"ENSP00000452909","RPL28","RPL28","ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]","ENSP"
"ENSP00000404375","RPL36A","RPL36A","ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]","ENSP"
"ENSP00000471455","CCDC124","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]","ENSP"
"ENSP00000345917","LYAR","LYAR","Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]","ENSP"
"ENSP00000346088","RPL22","RPL22","ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]","ENSP"
"ENSP00000463784","RPL26","RPL26","ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]","ENSP"
"ENSP00000259469","RPL35","RPL35","ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]","ENSP"
"ENSP00000377640","RPL24","RPL24","ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]","ENSP"
"ENSP00000267884","SRP14","SRP14","signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]","ENSP"
"ENSP00000364885","ZBTB17","ZBTB17","zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]","ENSP"
"ENSP00000252463","ZSCAN10","ZSCAN10","zinc finger and SCAN domain containing 10 [Source:HGNC Symbol;Acc:HGNC:12997]","ENSP"
"ENSP00000366902","ZBTB48","ZBTB48","zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]","ENSP"
"ENSP00000262032","IKZF4","IKZF4","IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]","ENSP"
"ENSP00000344544","IKZF3","IKZF3","IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]","ENSP"
"ENSP00000276594","PRDM14","PRDM14","PR/SET domain 14 [Source:HGNC Symbol;Acc:HGNC:14001]","ENSP"
"ENSP00000295709","STK36","STK36","serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]","ENSP"
"ENSP00000379258","GLI3","GLI3","GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]","ENSP"
"ENSP00000228437","PRDM4","PRDM4","PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]","ENSP"
"ENSP00000318085","HINFP","HINFP","histone H4 transcription factor [Source:HGNC Symbol;Acc:HGNC:17850]","ENSP"
"ENSP00000318373","ZNF513","ZNF513","zinc finger protein 513 [Source:HGNC Symbol;Acc:HGNC:26498]","ENSP"
"ENSP00000358918","SUFU","SUFU","SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]","ENSP"
"ENSP00000390436","GLI2","GLI2","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]","ENSP"
"ENSP00000264808","PRDM5","PRDM5","PR/SET domain 5 [Source:HGNC Symbol;Acc:HGNC:9349]","ENSP"
"ENSP00000269973","ZNF45","ZNF45","zinc finger protein 45 [Source:HGNC Symbol;Acc:HGNC:13111]","ENSP"
"ENSP00000292841","ZNF585A","ZNF585A","zinc finger protein 585A [Source:HGNC Symbol;Acc:HGNC:26305]","ENSP"
"ENSP00000477716","ZNF8","ZNF8","zinc finger protein 8 [Source:HGNC Symbol;Acc:HGNC:13154]","ENSP"
"ENSP00000433773","ZNF585B","ZNF585B","zinc finger protein 585B [Source:HGNC Symbol;Acc:HGNC:30948]","ENSP"
"ENSP00000228682","GLI1","GLI1","GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]","ENSP"
"ENSP00000472808","ZNF473","ZNF473","zinc finger protein 473 [Source:HGNC Symbol;Acc:HGNC:23239]","ENSP"
"ENSP00000415579","CTCFL","CTCFL","CCCTC-binding factor like [Source:HGNC Symbol;Acc:HGNC:16234]","ENSP"
"ENSP00000294740","ZNF281","ZNF281","zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]","ENSP"
"ENSP00000362563","ZBTB43","ZBTB43","zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]","ENSP"
"ENSP00000322804","MTSS1","MTSS1","MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]","ENSP"
"ENSP00000217086","SALL4","SALL4","spalt like transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:15924]","ENSP"
"ENSP00000478557","ZNF787","ZNF787","zinc finger protein 787 [Source:HGNC Symbol;Acc:HGNC:26998]","ENSP"
"ENSP00000354686","ZNF652","ZNF652","zinc finger protein 652 [Source:HGNC Symbol;Acc:HGNC:29147]","ENSP"
"ENSP00000292431","NACC1","NACC1","nucleus accumbens associated 1 [Source:HGNC Symbol;Acc:HGNC:20967]","ENSP"
"ENSP00000441823","SALL3","SALL3","spalt like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10527]","ENSP"
"ENSP00000301318","ZFP28","ZFP28","ZFP28 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:17801]","ENSP"
"ENSP00000232974","ZBTB47","ZBTB47","zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955]","ENSP"
"ENSP00000452552","ZFP37","ZFP37","ZFP37 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12863]","ENSP"
"ENSP00000379168","ZNF287","ZNF287","zinc finger protein 287 [Source:HGNC Symbol;Acc:HGNC:13502]","ENSP"
"ENSP00000320347","ZFP3","ZFP3","ZFP3 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12861]","ENSP"
"ENSP00000292928","ZNF382","ZNF382","zinc finger protein 382 [Source:HGNC Symbol;Acc:HGNC:17409]","ENSP"
"ENSP00000439402","ZNF667","ZNF667","zinc finger protein 667 [Source:HGNC Symbol;Acc:HGNC:28854]","ENSP"
"ENSP00000268154","ZNF710","ZNF710","zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]","ENSP"
"ENSP00000296233","KLF15","KLF15","KLF transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]","ENSP"
"ENSP00000423820","ZFP62","ZFP62","ZFP62 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23241]","ENSP"
"ENSP00000419153","ZBTB20","ZBTB20","zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]","ENSP"
"ENSP00000309653","GLIS1","GLIS1","GLIS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:29525]","ENSP"
"ENSP00000343103","PRMT7","PRMT7","protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]","ENSP"
"ENSP00000357881","IKZF5","IKZF5","IKAROS family zinc finger 5 [Source:HGNC Symbol;Acc:HGNC:14283]","ENSP"
"ENSP00000412869","IKZF2","IKZF2","IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]","ENSP"
"ENSP00000371398","GLIS3","GLIS3","GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:28510]","ENSP"
"ENSP00000369777","ZNF768","ZNF768","zinc finger protein 768 [Source:HGNC Symbol;Acc:HGNC:26273]","ENSP"
"ENSP00000338290","GZF1","GZF1","GDNF inducible zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:15808]","ENSP"
"ENSP00000455426","ZNF423","ZNF423","zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]","ENSP"
"ENSP00000396857","ZNF697","ZNF697","zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]","ENSP"
"ENSP00000380120","RBAK","RBAK","RB associated KRAB zinc finger [Source:HGNC Symbol;Acc:HGNC:17680]","ENSP"
"ENSP00000380112","RBAK-RBAKDN","RBAK-RBAKDN","RBAK-RBAKDN readthrough [Source:HGNC Symbol;Acc:HGNC:42971]","ENSP"
"ENSP00000349503","ZBTB14","ZBTB14","zinc finger and BTB domain containing 14 [Source:HGNC Symbol;Acc:HGNC:12860]","ENSP"
"ENSP00000326240","MYNN","MYNN","myoneurin [Source:HGNC Symbol;Acc:HGNC:14955]","ENSP"
"ENSP00000282928","ZIC1","ZIC1","Zic family member 1 [Source:HGNC Symbol;Acc:HGNC:12872]","ENSP"
"ENSP00000462054","ZFP92","ZFP92","ZFP92 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12865]","ENSP"
"ENSP00000465212","None","None","None",""
"ENSP00000365514","ZIC2","ZIC2","Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]","ENSP"
"ENSP00000291182","ZNF235","ZNF235","zinc finger protein 235 [Source:HGNC Symbol;Acc:HGNC:12866]","ENSP"
"ENSP00000287538","ZIC3","ZIC3","Zic family member 3 [Source:HGNC Symbol;Acc:HGNC:12874]","ENSP"
"ENSP00000362763","ZBTB6","ZBTB6","zinc finger and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16764]","ENSP"
"ENSP00000362760","ZBTB26","ZBTB26","zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:HGNC:23383]","ENSP"
"ENSP00000361959","CCN5","CCN5","cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]","ENSP"
"ENSP00000367069","ZFAT","ZFAT","zinc finger and AT-hook domain containing [Source:HGNC Symbol;Acc:HGNC:19899]","ENSP"
"ENSP00000366897","KLF12","KLF12","KLF transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:6346]","ENSP"
"ENSP00000307858","ZBTB4","ZBTB4","zinc finger and BTB domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23847]","ENSP"
"ENSP00000418259","ZFP57","ZFP57","ZFP57 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:18791]","ENSP"
"ENSP00000348673","ZNF770","ZNF770","zinc finger protein 770 [Source:HGNC Symbol;Acc:HGNC:26061]","ENSP"
"ENSP00000326967","ZNF121","ZNF121","zinc finger protein 121 [Source:HGNC Symbol;Acc:HGNC:12904]","ENSP"
"ENSP00000339109","ANAPC1","ANAPC1","anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]","ENSP"
"ENSP00000348838","UBE2C","UBE2C","ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]","ENSP"
"ENSP00000384490","CBX6","CBX6","chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556]","ENSP"
"ENSP00000370781","CDC20B","CDC20B","cell division cycle 20B [Source:HGNC Symbol;Acc:HGNC:24222]","ENSP"
"ENSP00000378350","CDC23","CDC23","cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]","ENSP"
"ENSP00000364839","ASXL1","ASXL1","ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]","ENSP"
"ENSP00000477760","ANAPC16","ANAPC16","anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976]","ENSP"
"ENSP00000308750","CBX2","CBX2","chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]","ENSP"
"ENSP00000418960","BRCA1","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]","ENSP"
"ENSP00000482063","PCGF2","PCGF2","polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]","ENSP"
"ENSP00000263360","EED","EED","embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]","ENSP"
"ENSP00000260947","BARD1","BARD1","BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]","ENSP"
"ENSP00000343412","BABAM2","BABAM2","BRISC and BRCA1 A complex member 2 [Source:HGNC Symbol;Acc:HGNC:1106]","ENSP"
"ENSP00000434614","CDC27","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","ENSP"
"ENSP00000359707","SAMD13","SAMD13","sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]","ENSP"
"ENSP00000353549","CDC16","CDC16","cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]","ENSP"
"ENSP00000378529","FZR1","FZR1","fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]","ENSP"
"ENSP00000251900","SCML2","SCML2","Scm polycomb group protein like 2 [Source:HGNC Symbol;Acc:HGNC:10581]","ENSP"
