module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_REAC	term_id_KEGG	goslim_pir	genes
159	M1	e019_M1	carboxylic acid transport / Basigin interactions	GO:0046942	REAC:R-HSA-210991	NA	GO:0006865	ENSP00000260649;ENSP00000333769;ENSP00000023064;ENSP00000253188;ENSP00000320378;ENSP00000380666;ENSP00000280612;ENSP00000261622;ENSP00000367123;ENSP00000455064;ENSP00000280362;ENSP00000301327;ENSP00000264607;ENSP00000363417;ENSP00000334553;ENSP00000441065;ENSP00000271526;ENSP00000296525;ENSP00000295190;ENSP00000302289;ENSP00000478639;ENSP00000463978;ENSP00000231706;ENSP00000252660;ENSP00000297524;ENSP00000261187;ENSP00000321735;ENSP00000362991;ENSP00000310490;ENSP00000312017;ENSP00000402756
160	M1	e019_M1	protein prenylation	GO:0018342	NA	NA	GO:0036211	ENSP00000246166;ENSP00000447121;ENSP00000404676;ENSP00000469863;ENSP00000381932;ENSP00000257909;ENSP00000299563;ENSP00000359240;ENSP00000355589;ENSP00000222345;ENSP00000411268;ENSP00000223145;ENSP00000303423;ENSP00000272647;ENSP00000365637;ENSP00000303928;ENSP00000441214;ENSP00000338532;ENSP00000482515;ENSP00000361943;ENSP00000239906;ENSP00000240364;ENSP00000363891;ENSP00000313691;ENSP00000363259;ENSP00000248098;ENSP00000376522;ENSP00000370981;ENSP00000375951;ENSP00000353496;ENSP00000341684
161	M1	e019_M1	sphingolipid biosynthetic process / Sphingolipid metabolism / Sphingolipid metabolism	GO:0030148	REAC:R-HSA-428157	KEGG:00600	GO:0043603;GO:0044255	ENSP00000258052;ENSP00000378105;ENSP00000314508;ENSP00000332656;ENSP00000271688;ENSP00000219334;ENSP00000411012;ENSP00000210633;ENSP00000316476;ENSP00000256496;ENSP00000371152;ENSP00000325485;ENSP00000284382;ENSP00000251363;ENSP00000376453;ENSP00000301452;ENSP00000378897;ENSP00000306344;ENSP00000342609;ENSP00000307126;ENSP00000315137;ENSP00000247225;ENSP00000340409;ENSP00000258874;ENSP00000455643;ENSP00000386531;ENSP00000270570;ENSP00000398778;ENSP00000355930;ENSP00000378176;ENSP00000450310
162	M1	e019_M1	mesenchymal stem cell maintenance involved in nephron morphogenesis / Transcriptional misregulation in cancer / Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	GO:0072038	REAC:R-HSA-5693565	KEGG:05202	GO:0032501;GO:0050789;GO:0032502	ENSP00000304502;ENSP00000384625;ENSP00000359319;ENSP00000410041;ENSP00000263334;ENSP00000412326;ENSP00000312222;ENSP00000482027;ENSP00000368332;ENSP00000216513;ENSP00000432770;ENSP00000362978;ENSP00000342626;ENSP00000333640;ENSP00000247182;ENSP00000482245;ENSP00000480946;ENSP00000359215;ENSP00000328596;ENSP00000260653;ENSP00000378028;ENSP00000296921;ENSP00000233638;ENSP00000420267;ENSP00000297857;ENSP00000316842;ENSP00000362217;ENSP00000426255;ENSP00000393835;ENSP00000439513;ENSP00000462419
163	M1	e019_M1	histone deubiquitination	GO:0016578	NA	NA	GO:0036211;GO:0006508	ENSP00000377797;ENSP00000261497;ENSP00000449334;ENSP00000439585;ENSP00000258499;ENSP00000387822;ENSP00000294168;ENSP00000263377;ENSP00000342434;ENSP00000423333;ENSP00000481091;ENSP00000353458;ENSP00000446880;ENSP00000397259;ENSP00000308022;ENSP00000429986;ENSP00000410759;ENSP00000305918;ENSP00000369681;ENSP00000299424;ENSP00000341219;ENSP00000370193;ENSP00000483631;ENSP00000336750;ENSP00000360515;ENSP00000376534;ENSP00000257548;ENSP00000378704;ENSP00000449223;ENSP00000417510;ENSP00000356848
164	M1	e019_M1	transmembrane receptor protein tyrosine kinase signaling pathway / Focal adhesion / Downstream signal transduction	GO:0007169	REAC:R-HSA-186763	KEGG:04510	GO:0065009;GO:0050789;GO:0006996;GO:0006793;GO:0036211;GO:0050896;GO:0040011	ENSP00000341189;ENSP00000478570;ENSP00000222390;ENSP00000417273;ENSP00000362680;ENSP00000330382;ENSP00000312185;ENSP00000233154;ENSP00000300574;ENSP00000263923;ENSP00000248594;ENSP00000360280;ENSP00000280333;ENSP00000261937;ENSP00000427562;ENSP00000346300;ENSP00000361423;ENSP00000366936;ENSP00000301178;ENSP00000290246;ENSP00000368759;ENSP00000257290;ENSP00000361263;ENSP00000380638;ENSP00000376123;ENSP00000422464;ENSP00000282397;ENSP00000261799;ENSP00000391669;ENSP00000317272;ENSP00000346508
165	M1	e019_M1	ephrin receptor signaling pathway / Axon guidance / EPH-ephrin mediated repulsion of cells	GO:0048013	REAC:R-HSA-3928665	KEGG:04360	GO:0050789;GO:0040011;GO:0032989	ENSP00000363117;ENSP00000275815;ENSP00000332118;ENSP00000481994;ENSP00000259089;ENSP00000363763;ENSP00000414378;ENSP00000337451;ENSP00000226091;ENSP00000215368;ENSP00000274376;ENSP00000357393;ENSP00000462468;ENSP00000362139;ENSP00000204961;ENSP00000358309;ENSP00000351209;ENSP00000281821;ENSP00000374323;ENSP00000480763;ENSP00000286827;ENSP00000381097;ENSP00000166244;ENSP00000350896;ENSP00000245323;ENSP00000444986;ENSP00000264051;ENSP00000357392;ENSP00000328777;ENSP00000378338;ENSP00000346671
166	M1	e019_M1	positive regulation of establishment of protein localization to telomere / Association of TriC/CCT with target proteins during biosynthesis	GO:1904851	REAC:R-HSA-390471	NA	GO:0051234;GO:0051641;GO:0050789	ENSP00000259711;ENSP00000476369;ENSP00000280326;ENSP00000286788;ENSP00000353048;ENSP00000012443;ENSP00000474534;ENSP00000275603;ENSP00000365944;ENSP00000317334;ENSP00000299300;ENSP00000258091;ENSP00000376946;ENSP00000313681;ENSP00000329915;ENSP00000347834;ENSP00000451030;ENSP00000281623;ENSP00000264254;ENSP00000246062;ENSP00000295688;ENSP00000259467;ENSP00000403077;ENSP00000218348;ENSP00000359149;ENSP00000438273;ENSP00000377958;ENSP00000379025;ENSP00000327191;ENSP00000324203;ENSP00000344866
167	M1	e019_M1	Wnt signaling pathway / Wnt signaling pathway / Disassembly of the destruction complex and recruitment of AXIN to the membrane	GO:0016055	REAC:R-HSA-4641262	KEGG:04310	GO:0050789;GO:0007154	ENSP00000392700;ENSP00000349156;ENSP00000369126;ENSP00000265689;ENSP00000337443;ENSP00000360058;ENSP00000356652;ENSP00000378248;ENSP00000222330;ENSP00000296849;ENSP00000302625;ENSP00000366474;ENSP00000355760;ENSP00000374507;ENSP00000421689;ENSP00000005340;ENSP00000337439;ENSP00000324806;ENSP00000262320;ENSP00000316054;ENSP00000368169;ENSP00000451188;ENSP00000304078;ENSP00000257430;ENSP00000302543;ENSP00000329117;ENSP00000271620;ENSP00000430985;ENSP00000470087;ENSP00000360060;ENSP00000301599
168	M1	e019_M1	Trafficking of myristoylated proteins to the cilium	NA	REAC:R-HSA-5624138	NA	NA	ENSP00000262457;ENSP00000297837;ENSP00000304586;ENSP00000337040;ENSP00000238616;ENSP00000362702;ENSP00000356355;ENSP00000376258;ENSP00000263563;ENSP00000338766;ENSP00000260746;ENSP00000218340;ENSP00000246747;ENSP00000344942;ENSP00000398637;ENSP00000219204;ENSP00000268766;ENSP00000363149;ENSP00000276616;ENSP00000326110;ENSP00000326342;ENSP00000342699;ENSP00000252032;ENSP00000320038;ENSP00000371234;ENSP00000334153;ENSP00000329295;ENSP00000284245;ENSP00000448536;ENSP00000302603
169	M1	e019_M1	tail-anchored membrane protein insertion into ER membrane / Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	GO:0071816	REAC:R-HSA-9609523	NA	GO:0051234;GO:0051641;GO:0061024	ENSP00000313309;ENSP00000334003;ENSP00000011473;ENSP00000380793;ENSP00000344503;ENSP00000466379;ENSP00000365131;ENSP00000216117;ENSP00000327716;ENSP00000377040;ENSP00000265857;ENSP00000297156;ENSP00000358857;ENSP00000272371;ENSP00000364749;ENSP00000219599;ENSP00000292363;ENSP00000364791;ENSP00000420076;ENSP00000286424;ENSP00000365076;ENSP00000341637;ENSP00000368814;ENSP00000436773;ENSP00000342156;ENSP00000256257;ENSP00000272321;ENSP00000342012;ENSP00000481699;ENSP00000391549
170	M1	e019_M1	basement membrane organization / ECM-receptor interaction / Laminin interactions	GO:0071711	REAC:R-HSA-3000157	KEGG:04512	GO:0045229;GO:0007155;GO:0050789;GO:0032989;GO:0043062	ENSP00000340998;ENSP00000264144;ENSP00000353864;ENSP00000306490;ENSP00000354923;ENSP00000278568;ENSP00000261007;ENSP00000230538;ENSP00000258341;ENSP00000222399;ENSP00000250617;ENSP00000365745;ENSP00000364893;ENSP00000282588;ENSP00000374309;ENSP00000267257;ENSP00000368678;ENSP00000388325;ENSP00000367686;ENSP00000298854;ENSP00000356515;ENSP00000354360;ENSP00000469413;ENSP00000400365;ENSP00000442600;ENSP00000314067;ENSP00000324532;ENSP00000375778;ENSP00000347464;ENSP00000252999
171	M1	e019_M1	RNA-mediated gene silencing / PIWI-interacting RNA (piRNA) biogenesis	GO:0031047	REAC:R-HSA-5601884	NA	GO:0000003;GO:0032501;GO:0007028;GO:0050789;GO:0006396;GO:0006996;GO:0048469;GO:0006304;GO:0022607	ENSP00000346065;ENSP00000330031;ENSP00000284629;ENSP00000255324;ENSP00000359049;ENSP00000251864;ENSP00000299001;ENSP00000365130;ENSP00000390621;ENSP00000357812;ENSP00000362287;ENSP00000262794;ENSP00000401946;ENSP00000399797;ENSP00000379412;ENSP00000446485;ENSP00000363314;ENSP00000245255;ENSP00000220592;ENSP00000415056;ENSP00000387303;ENSP00000379144;ENSP00000273317;ENSP00000356846;ENSP00000362306;ENSP00000384376;ENSP00000406052;ENSP00000347444;ENSP00000373272;ENSP00000349208
172	M1	e019_M1	Circadian rhythm / Activation of AMPK downstream of NMDARs	NA	REAC:R-HSA-9619483	KEGG:04710	GO:0050896;GO:0007154	ENSP00000324856;ENSP00000298048;ENSP00000287878;ENSP00000375081;ENSP00000420849;ENSP00000362222;ENSP00000217233;ENSP00000362608;ENSP00000254101;ENSP00000339179;ENSP00000360290;ENSP00000323867;ENSP00000312150;ENSP00000312741;ENSP00000158166;ENSP00000263212;ENSP00000155926;ENSP00000382544;ENSP00000270112;ENSP00000483300;ENSP00000362634;ENSP00000365692;ENSP00000346148;ENSP00000466477;ENSP00000397133;ENSP00000351475;ENSP00000229328;ENSP00000353824;ENSP00000312411;ENSP00000441927
173	M1	e019_M1	transforming growth factor beta receptor signaling pathway / TGF-beta signaling pathway / Signaling by BMP	GO:0007179	REAC:R-HSA-201451	KEGG:04350	GO:0050789;GO:0032502;GO:0006793;GO:0036211;GO:0050896	ENSP00000354919;ENSP00000362299;ENSP00000262435;ENSP00000364694;ENSP00000369154;ENSP00000261978;ENSP00000351905;ENSP00000302621;ENSP00000308921;ENSP00000364133;ENSP00000261336;ENSP00000441954;ENSP00000427793;ENSP00000355896;ENSP00000384126;ENSP00000212355;ENSP00000354621;ENSP00000377265;ENSP00000347041;ENSP00000262158;ENSP00000287727;ENSP00000337159;ENSP00000288840;ENSP00000238682;ENSP00000296946;ENSP00000221930;ENSP00000426568;ENSP00000356104;ENSP00000414147;ENSP00000301873
174	M1	e019_M1	regulation of acyl-CoA biosynthetic process / Regulation of pyruvate dehydrogenase (PDH) complex	GO:0050812	REAC:R-HSA-204174	NA	GO:0050789	ENSP00000005178;ENSP00000378624;ENSP00000420927;ENSP00000376352;ENSP00000264346;ENSP00000387536;ENSP00000385684;ENSP00000342481;ENSP00000398076;ENSP00000072869;ENSP00000225972;ENSP00000358755;ENSP00000337358;ENSP00000386738;ENSP00000295746;ENSP00000364403;ENSP00000371940;ENSP00000237163;ENSP00000302756;ENSP00000386201;ENSP00000245812;ENSP00000363899;ENSP00000265342;ENSP00000382104;ENSP00000360998;ENSP00000295131;ENSP00000309524;ENSP00000448580;ENSP00000366170
175	M1	e019_M1	coagulation / Complement and coagulation cascades / Extrinsic Pathway of Fibrin Clot Formation	GO:0050817	REAC:R-HSA-140834	KEGG:04610	GO:0050896;GO:0050789;GO:0050817;GO:0050878	ENSP00000002596;ENSP00000356671;ENSP00000364709;ENSP00000292579;ENSP00000233156;ENSP00000219400;ENSP00000277903;ENSP00000371211;ENSP00000234071;ENSP00000334611;ENSP00000364731;ENSP00000381104;ENSP00000366307;ENSP00000215727;ENSP00000233838;ENSP00000216968;ENSP00000334145;ENSP00000218099;ENSP00000222543;ENSP00000262626;ENSP00000295588;ENSP00000278742;ENSP00000421801;ENSP00000477949;ENSP00000478830;ENSP00000232003;ENSP00000342098;ENSP00000319730;ENSP00000427888
176	M1	e019_M1	protein O-linked glycosylation / Mucin type O-glycan biosynthesis / O-linked glycosylation of mucins	GO:0006493	REAC:R-HSA-913709	KEGG:00512	GO:0036211	ENSP00000427108;ENSP00000376465;ENSP00000156626;ENSP00000329654;ENSP00000376570;ENSP00000436604;ENSP00000423313;ENSP00000479207;ENSP00000252318;ENSP00000259056;ENSP00000336729;ENSP00000265000;ENSP00000444171;ENSP00000227756;ENSP00000380488;ENSP00000344260;ENSP00000364150;ENSP00000297107;ENSP00000416787;ENSP00000343635;ENSP00000311984;ENSP00000356940;ENSP00000305595;ENSP00000484640;ENSP00000415454;ENSP00000304364;ENSP00000389176;ENSP00000394183;ENSP00000312700
177	M1	e019_M1	Antigen processing: Ubiquitination & Proteasome degradation	NA	REAC:R-HSA-983168	NA	GO:0009057;GO:0036211;GO:0006508	ENSP00000170168;ENSP00000328059;ENSP00000253697;ENSP00000397453;ENSP00000323687;ENSP00000290650;ENSP00000393596;ENSP00000361990;ENSP00000311778;ENSP00000376786;ENSP00000388723;ENSP00000293303;ENSP00000354201;ENSP00000351346;ENSP00000264501;ENSP00000425840;ENSP00000224652;ENSP00000386118;ENSP00000353245;ENSP00000230431;ENSP00000331500;ENSP00000453704;ENSP00000358265;ENSP00000327468;ENSP00000356124;ENSP00000341549;ENSP00000321544;ENSP00000379034;ENSP00000383505
178	M1	e019_M1	cristae formation / Cristae formation	GO:0042407	REAC:R-HSA-8949613	NA	GO:0015031;GO:0007005;GO:0061024	ENSP00000420617;ENSP00000418428;ENSP00000356967;ENSP00000351214;ENSP00000295767;ENSP00000309561;ENSP00000378812;ENSP00000325562;ENSP00000284320;ENSP00000348211;ENSP00000345445;ENSP00000355566;ENSP00000249442;ENSP00000321617;ENSP00000362268;ENSP00000368528;ENSP00000319992;ENSP00000290913;ENSP00000262570;ENSP00000410339;ENSP00000316905;ENSP00000354204;ENSP00000438204;ENSP00000366800;ENSP00000357360;ENSP00000216034;ENSP00000423600;ENSP00000387262;ENSP00000381859
179	M1	e019_M1	steroid biosynthetic process / Steroid biosynthesis / Cholesterol biosynthesis	GO:0006694	REAC:R-HSA-191273	KEGG:00100	GO:0006629	ENSP00000003100;ENSP00000275016;ENSP00000355385;ENSP00000358421;ENSP00000473474;ENSP00000325425;ENSP00000244043;ENSP00000380837;ENSP00000297679;ENSP00000261507;ENSP00000332407;ENSP00000318867;ENSP00000320604;ENSP00000359297;ENSP00000256319;ENSP00000480828;ENSP00000445122;ENSP00000347717;ENSP00000265896;ENSP00000301645;ENSP00000254521;ENSP00000339883;ENSP00000219368;ENSP00000279263;ENSP00000360918;ENSP00000310721;ENSP00000277010;ENSP00000264027;ENSP00000341662
180	M1	e019_M1	Virion - Flavivirus	NA	NA	KEGG:03264	GO:0046794	ENSP00000366095;ENSP00000315477;ENSP00000311291;ENSP00000419945;ENSP00000266041;ENSP00000265162;ENSP00000316329;ENSP00000316228;ENSP00000310241;ENSP00000160262;ENSP00000371194;ENSP00000361207;ENSP00000402758;ENSP00000359563;ENSP00000268383;ENSP00000341141;ENSP00000312158;ENSP00000336587;ENSP00000297029;ENSP00000274507;ENSP00000368503;ENSP00000440428;ENSP00000351602;ENSP00000386378;ENSP00000319009;ENSP00000272367;ENSP00000345968;ENSP00000361770
181	M1	e019_M1	error-prone translesion synthesis / DNA replication / Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	GO:0042276	REAC:R-HSA-110313	KEGG:03030	GO:0006260;GO:0009059;GO:0006281	ENSP00000224950;ENSP00000220913;ENSP00000235310;ENSP00000484105;ENSP00000371321;ENSP00000368458;ENSP00000258428;ENSP00000379051;ENSP00000322570;ENSP00000311368;ENSP00000350491;ENSP00000263681;ENSP00000368349;ENSP00000216367;ENSP00000462664;ENSP00000265465;ENSP00000309572;ENSP00000362131;ENSP00000241436;ENSP00000262315;ENSP00000480987;ENSP00000307143;ENSP00000480186;ENSP00000361310;ENSP00000351697;ENSP00000268124;ENSP00000332706;ENSP00000442563
182	M1	e019_M1	vesicle-mediated transport to the plasma membrane / Endocytosis / RAB geranylgeranylation	GO:0098876	REAC:R-HSA-8873719	KEGG:04144	GO:0016192;GO:0050789;GO:0046903;GO:0015031;GO:0036211;GO:0016050	ENSP00000370208;ENSP00000317955;ENSP00000447053;ENSP00000461945;ENSP00000264710;ENSP00000382341;ENSP00000478479;ENSP00000261263;ENSP00000357564;ENSP00000317473;ENSP00000356465;ENSP00000445408;ENSP00000273047;ENSP00000362946;ENSP00000369538;ENSP00000312734;ENSP00000350386;ENSP00000261890;ENSP00000243662;ENSP00000355651;ENSP00000300935;ENSP00000244040;ENSP00000355511;ENSP00000304292;ENSP00000353444;ENSP00000229340;ENSP00000394071;ENSP00000333547
183	M1	e019_M1	Regulation of expression of SLITs and ROBOs	NA	REAC:R-HSA-9010553	NA	GO:0016043	ENSP00000344782;ENSP00000477829;ENSP00000442786;ENSP00000257818;ENSP00000359575;ENSP00000263726;ENSP00000340226;ENSP00000356357;ENSP00000345681;ENSP00000279206;ENSP00000483921;ENSP00000294339;ENSP00000338207;ENSP00000268679;ENSP00000392466;ENSP00000277517;ENSP00000230658;ENSP00000360811;ENSP00000264824;ENSP00000270061;ENSP00000365899;ENSP00000306772;ENSP00000290759;ENSP00000360371;ENSP00000221973;ENSP00000377854;ENSP00000294638;ENSP00000362717
184	M1	e019_M1	activin receptor signaling pathway / TGF-beta signaling pathway / Regulation of signaling by NODAL	GO:0032924	REAC:R-HSA-1433617	KEGG:04350	GO:0006793;GO:0050789;GO:0036211;GO:0050896	ENSP00000282701;ENSP00000166139;ENSP00000259216;ENSP00000295228;ENSP00000442656;ENSP00000418944;ENSP00000241416;ENSP00000340361;ENSP00000263640;ENSP00000355785;ENSP00000272134;ENSP00000257863;ENSP00000296145;ENSP00000257868;ENSP00000308716;ENSP00000373574;ENSP00000324763;ENSP00000266646;ENSP00000243349;ENSP00000243786;ENSP00000260950;ENSP00000242208;ENSP00000221496;ENSP00000359940;ENSP00000311184;ENSP00000287139;ENSP00000281882;ENSP00000463051
185	M1	e019_M1	GPI anchor biosynthetic process / Glycosylphosphatidylinositol (GPI)-anchor biosynthesis / Synthesis of glycosylphosphatidylinositol (GPI)	GO:0006506	REAC:R-HSA-162710	KEGG:00563	GO:0044255;GO:0006793;GO:0009059;GO:0036211	ENSP00000026218;ENSP00000420037;ENSP00000322181;ENSP00000432688;ENSP00000273968;ENSP00000369820;ENSP00000216452;ENSP00000356702;ENSP00000348888;ENSP00000296333;ENSP00000372750;ENSP00000255380;ENSP00000360644;ENSP00000478289;ENSP00000479675;ENSP00000481152;ENSP00000385361;ENSP00000254801;ENSP00000309521;ENSP00000329312;ENSP00000223215;ENSP00000248948;ENSP00000378888;ENSP00000316491;ENSP00000357384;ENSP00000357069;ENSP00000363260
186	M1	e019_M1	secretory granule maturation	GO:0061792	NA	NA	GO:0016050;GO:0032502	ENSP00000388713;ENSP00000346959;ENSP00000484715;ENSP00000349291;ENSP00000411197;ENSP00000263233;ENSP00000364919;ENSP00000373215;ENSP00000418994;ENSP00000255784;ENSP00000280187;ENSP00000248121;ENSP00000295718;ENSP00000374069;ENSP00000418648;ENSP00000366036;ENSP00000287766;ENSP00000350364;ENSP00000481006;ENSP00000419000;ENSP00000316861;ENSP00000305852;ENSP00000265909;ENSP00000270642;ENSP00000380037;ENSP00000304355;ENSP00000380959
188	M1	e019_M1	water transport / Passive transport by Aquaporins	GO:0006833	REAC:R-HSA-432047	NA	GO:0032501;GO:0042044;GO:0015791;GO:0008643;GO:0050878	ENSP00000219919;ENSP00000291009;ENSP00000199280;ENSP00000311477;ENSP00000293599;ENSP00000297991;ENSP00000219660;ENSP00000372654;ENSP00000318355;ENSP00000405899;ENSP00000257979;ENSP00000297988;ENSP00000311165;ENSP00000406191;ENSP00000318770;ENSP00000481848;ENSP00000476519;ENSP00000427120;ENSP00000292401;ENSP00000304987;ENSP00000482335;ENSP00000404782;ENSP00000359691;ENSP00000367104;ENSP00000469998;ENSP00000421315;ENSP00000333041
189	M1	e019_M1	GPI anchor biosynthetic process / Glycosylphosphatidylinositol (GPI)-anchor biosynthesis / Attachment of GPI anchor to uPAR	GO:0006506	REAC:R-HSA-162791	KEGG:00563	GO:0044255;GO:0006793;GO:0009059;GO:0036211	ENSP00000006658;ENSP00000359848;ENSP00000376911;ENSP00000279036;ENSP00000396593;ENSP00000333329;ENSP00000353701;ENSP00000309430;ENSP00000356828;ENSP00000347206;ENSP00000427424;ENSP00000418875;ENSP00000217446;ENSP00000367880;ENSP00000281382;ENSP00000284984;ENSP00000311313;ENSP00000420384;ENSP00000376317;ENSP00000415203;ENSP00000359490;ENSP00000294671;ENSP00000444215;ENSP00000423211;ENSP00000415662;ENSP00000485337;ENSP00000430307
190	M1	e019_M1	anterograde trans-synaptic signaling / Synaptic vesicle cycle / Serotonin Neurotransmitter Release Cycle	GO:0098916	REAC:R-HSA-181429	KEGG:04721	GO:0016192;GO:0046903;GO:0006836;GO:0065008;GO:0007154	ENSP00000360718;ENSP00000261205;ENSP00000374036;ENSP00000298472;ENSP00000282878;ENSP00000296452;ENSP00000262231;ENSP00000221485;ENSP00000345824;ENSP00000222120;ENSP00000260323;ENSP00000351614;ENSP00000362399;ENSP00000222256;ENSP00000428417;ENSP00000217420;ENSP00000253925;ENSP00000295987;ENSP00000350928;ENSP00000365437;ENSP00000272198;ENSP00000429562;ENSP00000335614;ENSP00000367756;ENSP00000288221;ENSP00000450337;ENSP00000468263
191	M1	e019_M1	pore complex assembly / Prion disease / Terminal pathway of complement	GO:0046931	REAC:R-HSA-166665	KEGG:05020	GO:0006810;GO:0051641;GO:0065003;GO:0065008;GO:0007005;GO:0061024	ENSP00000428845;ENSP00000363041;ENSP00000276449;ENSP00000268704;ENSP00000375960;ENSP00000322061;ENSP00000381185;ENSP00000239666;ENSP00000361635;ENSP00000265333;ENSP00000263413;ENSP00000260408;ENSP00000379563;ENSP00000363591;ENSP00000224181;ENSP00000225174;ENSP00000310036;ENSP00000281456;ENSP00000347883;ENSP00000223642;ENSP00000354458;ENSP00000483872;ENSP00000360281;ENSP00000293288;ENSP00000247001;ENSP00000263408;ENSP00000392330
192	M1	e019_M1	protein localization to juxtaparanode region of axon / Neurexins and neuroligins	GO:0071205	REAC:R-HSA-6794361	NA	GO:0051641	ENSP00000447488;ENSP00000453293;ENSP00000329797;ENSP00000381425;ENSP00000221459;ENSP00000428182;ENSP00000354778;ENSP00000343158;ENSP00000402033;ENSP00000399013;ENSP00000367408;ENSP00000345731;ENSP00000278193;ENSP00000439807;ENSP00000478671;ENSP00000222644;ENSP00000297668;ENSP00000265381;ENSP00000360200;ENSP00000304604;ENSP00000330633;ENSP00000361467;ENSP00000337907;ENSP00000225525;ENSP00000272542;ENSP00000264638;ENSP00000479811
193	M1	e019_M1	vocalization behavior / Glutamatergic synapse / Neurexins and neuroligins	GO:0071625	REAC:R-HSA-6794361	KEGG:04724	GO:0007155;GO:0065009;GO:0050789;GO:0051703;GO:0050877;GO:0065008;GO:0007154;GO:0022607;GO:0061024	ENSP00000362444;ENSP00000400258;ENSP00000382428;ENSP00000469689;ENSP00000351591;ENSP00000370485;ENSP00000365272;ENSP00000363480;ENSP00000265459;ENSP00000392500;ENSP00000451648;ENSP00000354896;ENSP00000274711;ENSP00000316377;ENSP00000363023;ENSP00000345259;ENSP00000337168;ENSP00000385142;ENSP00000306138;ENSP00000305288;ENSP00000439937;ENSP00000305632;ENSP00000334382;ENSP00000338481;ENSP00000263713;ENSP00000295057;ENSP00000293441
194	M1	e019_M1	negative regulation of TORC1 signaling / Amino acids regulate mTORC1	GO:1904262	REAC:R-HSA-9639288	NA	GO:0050896;GO:0050789;GO:0007154	ENSP00000333298;ENSP00000253063;ENSP00000293883;ENSP00000377545;ENSP00000377504;ENSP00000393762;ENSP00000337850;ENSP00000339881;ENSP00000384183;ENSP00000294543;ENSP00000228799;ENSP00000232501;ENSP00000311486;ENSP00000457168;ENSP00000297145;ENSP00000458018;ENSP00000383105;ENSP00000484732;ENSP00000483814;ENSP00000247194;ENSP00000233202;ENSP00000378310;ENSP00000354255;ENSP00000254488;ENSP00000263849;ENSP00000294507
195	M1	e019_M1	methionine metabolic process / Cysteine and methionine metabolism / Cobalamin (Cbl) metabolism	GO:0006555	REAC:R-HSA-9759218	KEGG:00270	GO:0006520;GO:0006790	ENSP00000273920;ENSP00000383840;ENSP00000276590;ENSP00000264170;ENSP00000262288;ENSP00000357804;ENSP00000302441;ENSP00000305653;ENSP00000445920;ENSP00000425809;ENSP00000262424;ENSP00000355536;ENSP00000264668;ENSP00000297623;ENSP00000323805;ENSP00000385746;ENSP00000389060;ENSP00000366156;ENSP00000274353;ENSP00000255192;ENSP00000365777;ENSP00000262207;ENSP00000396452;ENSP00000302855;ENSP00000480958;ENSP00000359609
196	M1	e019_M1	tRNA 5'-end processing / Ribosome biogenesis in eukaryotes / tRNA processing in the nucleus	GO:0099116	REAC:R-HSA-6784531	KEGG:03008	GO:0006396	ENSP00000465213;ENSP00000327487;ENSP00000397402;ENSP00000389182;ENSP00000263209;ENSP00000356520;ENSP00000409799;ENSP00000318176;ENSP00000385787;ENSP00000168216;ENSP00000299440;ENSP00000317691;ENSP00000350098;ENSP00000266987;ENSP00000440915;ENSP00000412894;ENSP00000304353;ENSP00000363944;ENSP00000401445;ENSP00000284995;ENSP00000369391;ENSP00000297613;ENSP00000437256;ENSP00000362300;ENSP00000425979;ENSP00000312356
197	M1	e019_M1	potassium ion transmembrane transport / Voltage gated Potassium channels	GO:0071805	REAC:R-HSA-1296072	NA	GO:0006811	ENSP00000360806;ENSP00000419952;ENSP00000302719;ENSP00000312129;ENSP00000262916;ENSP00000328511;ENSP00000319591;ENSP00000430846;ENSP00000287042;ENSP00000371985;ENSP00000385968;ENSP00000218176;ENSP00000265969;ENSP00000434241;ENSP00000252321;ENSP00000358784;ENSP00000352035;ENSP00000371514;ENSP00000373648;ENSP00000358802;ENSP00000295082;ENSP00000333496;ENSP00000307694;ENSP00000360626;ENSP00000433109;ENSP00000367323
198	M1	e019_M1	vesicle fusion with Golgi apparatus / RAB geranylgeranylation	GO:0048280	REAC:R-HSA-8873719	NA	GO:0048284;GO:0016050;GO:0007030;GO:0061024	ENSP00000328551;ENSP00000376872;ENSP00000356231;ENSP00000365630;ENSP00000461785;ENSP00000306496;ENSP00000378313;ENSP00000481054;ENSP00000267512;ENSP00000378958;ENSP00000440167;ENSP00000362590;ENSP00000274496;ENSP00000238831;ENSP00000409382;ENSP00000257017;ENSP00000361716;ENSP00000319781;ENSP00000447300;ENSP00000332772;ENSP00000331748;ENSP00000438492;ENSP00000218249;ENSP00000360727;ENSP00000222008;ENSP00000336724
