module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_KEGG	term_id_REAC	goslim_pir	genes
44	R1	e019_R1	positive regulation of chromosome condensation / Insulin signaling pathway / CREB1 phosphorylation through the activation of Adenylate Cyclase	GO:1905821	KEGG:04910	REAC:R-HSA-442720	GO:0006811;GO:0065008;GO:0051276;GO:0050789;GO:0032501;GO:0065009	ENSP00000155840;ENSP00000225737;ENSP00000229328;ENSP00000240423;ENSP00000251496;ENSP00000254101;ENSP00000262186;ENSP00000262848;ENSP00000265563;ENSP00000265717;ENSP00000269701;ENSP00000286398;ENSP00000287878;ENSP00000290310;ENSP00000299821;ENSP00000306124;ENSP00000309591;ENSP00000310557;ENSP00000323867;ENSP00000325017;ENSP00000337255;ENSP00000343325;ENSP00000346148;ENSP00000348573;ENSP00000349961;ENSP00000351327;ENSP00000358363;ENSP00000359719;ENSP00000360290;ENSP00000360485;ENSP00000366488;ENSP00000370669;ENSP00000376475;ENSP00000379696;ENSP00000387007;ENSP00000397133;ENSP00000405252;ENSP00000433681;ENSP00000463533;ENSP00000478212
45	R1	e019_R1	protein deubiquitination / Ubiquitin mediated proteolysis / Synthesis of active ubiquitin: roles of E1 and E2 enzymes	GO:0016579	KEGG:04120	REAC:R-HSA-8866652	GO:0036211;GO:0006508;GO:0009057	ENSP00000156084;ENSP00000203664;ENSP00000229268;ENSP00000260187;ENSP00000261427;ENSP00000263228;ENSP00000264834;ENSP00000272317;ENSP00000284440;ENSP00000287156;ENSP00000304697;ENSP00000313454;ENSP00000326813;ENSP00000338413;ENSP00000348089;ENSP00000352676;ENSP00000354669;ENSP00000356981;ENSP00000357565;ENSP00000360994;ENSP00000366819;ENSP00000369996;ENSP00000388107;ENSP00000429084;ENSP00000441543;ENSP00000462729;ENSP00000464265;ENSP00000468956
46	R1	e019_R1	RNA splicing, via transesterification reactions / mRNA Splicing - Major Pathway	GO:0000375	NA	REAC:R-HSA-72163	GO:0000375	ENSP00000156109;ENSP00000156471;ENSP00000199814;ENSP00000215793;ENSP00000216252;ENSP00000226798;ENSP00000227524;ENSP00000233468;ENSP00000236273;ENSP00000243563;ENSP00000244227;ENSP00000246071;ENSP00000249299;ENSP00000252011;ENSP00000252622;ENSP00000254193;ENSP00000257181;ENSP00000260210;ENSP00000260970;ENSP00000261308;ENSP00000261531;ENSP00000262415;ENSP00000262633;ENSP00000263384;ENSP00000263694;ENSP00000265107;ENSP00000266079;ENSP00000267291;ENSP00000267812;ENSP00000268483;ENSP00000269967;ENSP00000271628;ENSP00000272091;ENSP00000274712;ENSP00000282251;ENSP00000292314;ENSP00000296215;ENSP00000297151;ENSP00000300146;ENSP00000301740;ENSP00000302160;ENSP00000305790;ENSP00000306614;ENSP00000310448;ENSP00000310596;ENSP00000310723;ENSP00000312981;ENSP00000315379;ENSP00000317123;ENSP00000318861;ENSP00000337194;ENSP00000339090;ENSP00000339723;ENSP00000351137;ENSP00000351492;ENSP00000354518;ENSP00000356541;ENSP00000357928;ENSP00000358554;ENSP00000360464;ENSP00000360497;ENSP00000360532;ENSP00000361918;ENSP00000362110;ENSP00000362803;ENSP00000363043;ENSP00000363313;ENSP00000364813;ENSP00000365625;ENSP00000366557;ENSP00000367835;ENSP00000368801;ENSP00000370460;ENSP00000373354;ENSP00000380336;ENSP00000382972;ENSP00000386023;ENSP00000387006;ENSP00000392094;ENSP00000396301;ENSP00000410758;ENSP00000415078;ENSP00000416534;ENSP00000422392;ENSP00000424417;ENSP00000460348;ENSP00000467556;ENSP00000469468;ENSP00000473200;ENSP00000475615;ENSP00000480851
47	R1	e019_R1	positive regulation of MHC class II biosynthetic process / Formation of Senescence-Associated Heterochromatin Foci (SAHF)	GO:0045348	NA	REAC:R-HSA-2559584	GO:0032502;GO:0050789;GO:0009059	ENSP00000157600;ENSP00000229595;ENSP00000231121;ENSP00000239938;ENSP00000250003;ENSP00000255476;ENSP00000263208;ENSP00000263382;ENSP00000271555;ENSP00000290524;ENSP00000305071;ENSP00000327758;ENSP00000336894;ENSP00000340660;ENSP00000340874;ENSP00000346389;ENSP00000352565;ENSP00000362151;ENSP00000365380;ENSP00000379894;ENSP00000381364;ENSP00000386200;ENSP00000389377;ENSP00000390762;ENSP00000402154;ENSP00000408617;ENSP00000411099;ENSP00000443827;ENSP00000484803;ENSP00000485010
48	R1	e019_R1	Long-term potentiation / CaMK IV-mediated phosphorylation of CREB	NA	KEGG:04720	REAC:R-HSA-111932	GO:0036211;GO:0050789;GO:0006793	ENSP00000158166;ENSP00000260408;ENSP00000272298;ENSP00000282356;ENSP00000307701;ENSP00000312741;ENSP00000319060;ENSP00000339740;ENSP00000347883;ENSP00000353452;ENSP00000362387;ENSP00000379098;ENSP00000381412;ENSP00000396270;ENSP00000427900;ENSP00000442682;ENSP00000478061;ENSP00000483872
49	R1	e019_R1	negative regulation of adiponectin secretion / Endocytosis / TBC/RABGAPs	GO:0070164	KEGG:04144	REAC:R-HSA-8854214	GO:0065008;GO:0051641;GO:0050789;GO:0016192	ENSP00000158762;ENSP00000218249;ENSP00000221543;ENSP00000231368;ENSP00000250894;ENSP00000258098;ENSP00000261890;ENSP00000262013;ENSP00000262305;ENSP00000285039;ENSP00000297044;ENSP00000298316;ENSP00000320935;ENSP00000331342;ENSP00000347839;ENSP00000354376;ENSP00000366863;ENSP00000368022;ENSP00000373301;ENSP00000386289;ENSP00000447300;ENSP00000482620
50	R1	e019_R1	retrograde protein transport, ER to cytosol / Protein processing in endoplasmic reticulum / N-glycan trimming in the ER and Calnexin/Calreticulin cycle	GO:0030970	KEGG:04141	REAC:R-HSA-532668	GO:0050896;GO:0006508;GO:0015031;GO:0009057	ENSP00000158771;ENSP00000185150;ENSP00000250457;ENSP00000256497;ENSP00000259512;ENSP00000273317;ENSP00000290649;ENSP00000304051;ENSP00000318147;ENSP00000318165;ENSP00000337053;ENSP00000338348;ENSP00000355601;ENSP00000359829;ENSP00000366395;ENSP00000366748;ENSP00000367312;ENSP00000372394;ENSP00000381237;ENSP00000381282;ENSP00000383719;ENSP00000384744;ENSP00000405573;ENSP00000451261;ENSP00000469686
51	R1	e019_R1	superoxide anion generation / RHO GTPases Activate NADPH Oxidases	GO:0042554	NA	REAC:R-HSA-5668599	GO:0008152	ENSP00000159060;ENSP00000219409;ENSP00000228945;ENSP00000249071;ENSP00000261623;ENSP00000262395;ENSP00000263317;ENSP00000267803;ENSP00000269321;ENSP00000272233;ENSP00000289473;ENSP00000317997;ENSP00000342848;ENSP00000356505;ENSP00000362057;ENSP00000367851;ENSP00000371219;ENSP00000373518;ENSP00000380334;ENSP00000380450;ENSP00000475924
52	R1	e019_R1	cellular response to estradiol stimulus / AMPK signaling pathway / Energy dependent regulation of mTOR by LKB1-AMPK	GO:0071392	KEGG:04152	REAC:R-HSA-380972	GO:0050789;GO:0050896	ENSP00000159111;ENSP00000160373;ENSP00000194530;ENSP00000219406;ENSP00000229395;ENSP00000249344;ENSP00000258418;ENSP00000261402;ENSP00000263918;ENSP00000271277;ENSP00000281321;ENSP00000287394;ENSP00000295951;ENSP00000311219;ENSP00000315702;ENSP00000324856;ENSP00000325748;ENSP00000336655;ENSP00000350071;ENSP00000355991;ENSP00000358541;ENSP00000358810;ENSP00000360138;ENSP00000365730;ENSP00000366413;ENSP00000375777;ENSP00000376269;ENSP00000376506;ENSP00000377867;ENSP00000380281;ENSP00000405330;ENSP00000449960;ENSP00000467423;ENSP00000474534;ENSP00000479669
53	R1	e019_R1	heterotypic cell-cell adhesion / Cell adhesion molecules / Integrin cell surface interactions	GO:0034113	KEGG:04514	REAC:R-HSA-216083	GO:0050789;GO:0007155	ENSP00000160262;ENSP00000221980;ENSP00000260302;ENSP00000264832;ENSP00000266085;ENSP00000284240;ENSP00000287814;ENSP00000306099;ENSP00000306361;ENSP00000309968;ENSP00000312158;ENSP00000315477;ENSP00000316228;ENSP00000336829;ENSP00000342114;ENSP00000349252;ENSP00000356954;ENSP00000370588;ENSP00000378058;ENSP00000380948;ENSP00000415283;ENSP00000416330;ENSP00000441691;ENSP00000454623;ENSP00000483599
54	R1	e019_R1	regulation of nucleotide-excision repair / RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	GO:2000819	NA	REAC:R-HSA-8939243	GO:0032502;GO:0050789;GO:0006281;GO:0016043	ENSP00000160382;ENSP00000245414;ENSP00000254480;ENSP00000261366;ENSP00000262188;ENSP00000263121;ENSP00000265773;ENSP00000266732;ENSP00000267064;ENSP00000310275;ENSP00000313933;ENSP00000316130;ENSP00000320485;ENSP00000323967;ENSP00000327054;ENSP00000330753;ENSP00000334308;ENSP00000335044;ENSP00000338796;ENSP00000339883;ENSP00000341805;ENSP00000344546;ENSP00000347716;ENSP00000349770;ENSP00000350719;ENSP00000355988;ENSP00000356224;ENSP00000357283;ENSP00000358857;ENSP00000370532;ENSP00000377218;ENSP00000378307;ENSP00000378414;ENSP00000379946;ENSP00000380697;ENSP00000384015;ENSP00000385616;ENSP00000387822;ENSP00000392617;ENSP00000395654;ENSP00000396704;ENSP00000404220;ENSP00000414516;ENSP00000418734;ENSP00000419765;ENSP00000436901;ENSP00000479526
55	R1	e019_R1	leukocyte tethering or rolling / Cell adhesion molecules	GO:0050901	KEGG:04514	NA	GO:0002376;GO:0007155	ENSP00000161559;ENSP00000205061;ENSP00000224140;ENSP00000228463;ENSP00000233575;ENSP00000236147;ENSP00000243644;ENSP00000259008;ENSP00000260227;ENSP00000263686;ENSP00000287706;ENSP00000310036;ENSP00000312002;ENSP00000331736;ENSP00000339637;ENSP00000349722;ENSP00000351602;ENSP00000353238;ENSP00000377492;ENSP00000378856;ENSP00000382805;ENSP00000418960;ENSP00000483300
56	R1	e019_R1	tRNA 5'-end processing / tRNA processing	GO:0099116	NA	REAC:R-HSA-72306	GO:0050789;GO:0006396;GO:0009057	ENSP00000161863;ENSP00000168216;ENSP00000220592;ENSP00000256079;ENSP00000258416;ENSP00000264951;ENSP00000265351;ENSP00000266987;ENSP00000275732;ENSP00000279068;ENSP00000280665;ENSP00000297613;ENSP00000304353;ENSP00000307181;ENSP00000312356;ENSP00000317691;ENSP00000318176;ENSP00000320503;ENSP00000334840;ENSP00000350098;ENSP00000351811;ENSP00000355011;ENSP00000357459;ENSP00000362287;ENSP00000362300;ENSP00000362306;ENSP00000369391;ENSP00000372804;ENSP00000373272;ENSP00000373657;ENSP00000373715;ENSP00000379144;ENSP00000380659;ENSP00000385787;ENSP00000386894;ENSP00000387170;ENSP00000389182;ENSP00000399797;ENSP00000401946;ENSP00000404121;ENSP00000409799;ENSP00000411409;ENSP00000412894;ENSP00000416673;ENSP00000437256;ENSP00000440915;ENSP00000446271;ENSP00000465213;ENSP00000476046;ENSP00000476955;ENSP00000478754;ENSP00000478982;ENSP00000485378
57	R1	e019_R1	regulation of I-kappaB kinase/NF-kappaB signaling / TNF signaling pathway / TNF signaling	GO:0043122	KEGG:04668	REAC:R-HSA-75893	GO:0036211;GO:0006508;GO:0002376;GO:0050789;GO:0050896	ENSP00000162749;ENSP00000216185;ENSP00000258052;ENSP00000263464;ENSP00000284274;ENSP00000287322;ENSP00000310933;ENSP00000311469;ENSP00000312664;ENSP00000315112;ENSP00000337797;ENSP00000348632;ENSP00000351908;ENSP00000353732;ENSP00000356426;ENSP00000358335;ENSP00000365926;ENSP00000368215;ENSP00000369314;ENSP00000381698;ENSP00000392025;ENSP00000398698;ENSP00000411012;ENSP00000416799;ENSP00000419591;ENSP00000439068
58	R1	e019_R1	retrograde transport, vesicle recycling within Golgi / Intra-Golgi traffic	GO:0000301	NA	REAC:R-HSA-6811438	GO:0016192	ENSP00000163416;ENSP00000204726;ENSP00000258654;ENSP00000297135;ENSP00000299886;ENSP00000305442;ENSP00000305459;ENSP00000315775;ENSP00000355629;ENSP00000390783;ENSP00000397441
59	R1	e019_R1	protein dephosphorylation / mRNA surveillance pathway / APC truncation mutants have impaired AXIN binding	GO:0006470	KEGG:03015	REAC:R-HSA-5467337	GO:0036211;GO:0050789;GO:0006793	ENSP00000164133;ENSP00000221138;ENSP00000264977;ENSP00000268459;ENSP00000279387;ENSP00000311344;ENSP00000324804;ENSP00000335083;ENSP00000337641;ENSP00000344635;ENSP00000347427;ENSP00000349124;ENSP00000356807;ENSP00000363661;ENSP00000375080;ENSP00000377036;ENSP00000377390;ENSP00000377936;ENSP00000382379;ENSP00000383402;ENSP00000392147;ENSP00000399970;ENSP00000414202;ENSP00000417963;ENSP00000418447;ENSP00000450864;ENSP00000478417;ENSP00000483228
60	R1	e019_R1	RIP-mediated NFkB activation via ZBP1	NA	NA	REAC:R-HSA-1810476	GO:0050789	ENSP00000164227;ENSP00000216797;ENSP00000218348;ENSP00000221452;ENSP00000226574;ENSP00000263056;ENSP00000263377;ENSP00000275015;ENSP00000295025;ENSP00000297439;ENSP00000312988;ENSP00000313983;ENSP00000321203;ENSP00000337332;ENSP00000358983;ENSP00000384273;ENSP00000394085;ENSP00000428340
61	R1	e019_R1	BMP signaling pathway / TGF-beta signaling pathway / Signaling by BMP	GO:0030509	KEGG:04350	REAC:R-HSA-201451	GO:0036211;GO:0006793;GO:0032502;GO:0050789;GO:0032501;GO:0050896	ENSP00000166139;ENSP00000204604;ENSP00000221496;ENSP00000228938;ENSP00000241416;ENSP00000242208;ENSP00000243349;ENSP00000243786;ENSP00000245451;ENSP00000256759;ENSP00000257863;ENSP00000257868;ENSP00000260950;ENSP00000262120;ENSP00000263640;ENSP00000283147;ENSP00000283243;ENSP00000287139;ENSP00000295228;ENSP00000295379;ENSP00000296145;ENSP00000297161;ENSP00000304930;ENSP00000308219;ENSP00000328181;ENSP00000340361;ENSP00000353920;ENSP00000359866;ENSP00000361107;ENSP00000361112;ENSP00000363492;ENSP00000363708;ENSP00000364246;ENSP00000364683;ENSP00000367942;ENSP00000368104;ENSP00000370297;ENSP00000373574;ENSP00000379204;ENSP00000393847;ENSP00000393887;ENSP00000401907;ENSP00000442656;ENSP00000452126;ENSP00000463051;ENSP00000478319
62	R1	e019_R1	ephrin receptor signaling pathway / Axon guidance / EPHA-mediated growth cone collapse	GO:0048013	KEGG:04360	REAC:R-HSA-3928663	GO:0032989;GO:0050789	ENSP00000166244;ENSP00000215368;ENSP00000252809;ENSP00000259089;ENSP00000264051;ENSP00000272067;ENSP00000275815;ENSP00000281821;ENSP00000298229;ENSP00000328777;ENSP00000337451;ENSP00000343636;ENSP00000351209;ENSP00000355026;ENSP00000357392;ENSP00000357393;ENSP00000358309;ENSP00000359073;ENSP00000360916;ENSP00000362139;ENSP00000363117;ENSP00000367629;ENSP00000374323;ENSP00000414378;ENSP00000426741;ENSP00000444986;ENSP00000480763
63	R1	e019_R1	anaphase-promoting complex-dependent catabolic process / Cell cycle / Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	GO:0031145	KEGG:04110	REAC:R-HSA-176407	GO:0000280;GO:0007049;GO:0009057;GO:0036211;GO:0051276;GO:0006508;GO:0050789;GO:0007059	ENSP00000166345;ENSP00000216133;ENSP00000229758;ENSP00000251900;ENSP00000257118;ENSP00000258499;ENSP00000261819;ENSP00000263360;ENSP00000264552;ENSP00000269197;ENSP00000269385;ENSP00000269397;ENSP00000296509;ENSP00000308750;ENSP00000314004;ENSP00000316578;ENSP00000318094;ENSP00000320147;ENSP00000339109;ENSP00000341280;ENSP00000348838;ENSP00000349957;ENSP00000353549;ENSP00000354724;ENSP00000355966;ENSP00000358813;ENSP00000358862;ENSP00000359321;ENSP00000361540;ENSP00000363322;ENSP00000363640;ENSP00000363787;ENSP00000364839;ENSP00000365851;ENSP00000378350;ENSP00000378529;ENSP00000381840;ENSP00000383920;ENSP00000384490;ENSP00000389445;ENSP00000394394;ENSP00000404658;ENSP00000410818;ENSP00000417132;ENSP00000420294;ENSP00000421842;ENSP00000426654;ENSP00000434614;ENSP00000439403;ENSP00000440674;ENSP00000473391;ENSP00000477760;ENSP00000478501;ENSP00000482063;ENSP00000483946;ENSP00000485396
65	R1	e019_R1	intermediate filament organization	GO:0045109	NA	NA	GO:0006996	ENSP00000167586;ENSP00000252242;ENSP00000301653
66	R1	e019_R1	fibroblast growth factor receptor signaling pathway / Melanoma / FGFR4 ligand binding and activation	GO:0008543	KEGG:05218	REAC:R-HSA-190322	GO:0032502;GO:0050789;GO:0050896	ENSP00000168712;ENSP00000180166;ENSP00000228837;ENSP00000237837;ENSP00000249041;ENSP00000257408;ENSP00000262648;ENSP00000264664;ENSP00000265643;ENSP00000267843;ENSP00000292408;ENSP00000294312;ENSP00000299727;ENSP00000311697;ENSP00000315713;ENSP00000316244;ENSP00000322390;ENSP00000329684;ENSP00000337949;ENSP00000369442;ENSP00000371790;ENSP00000393312;ENSP00000410294;ENSP00000471477;ENSP00000480791
67	R1	e019_R1	protein targeting to mitochondrion / Mitochondrial protein import	GO:0006626	NA	REAC:R-HSA-1268020	GO:0007005;GO:0015031	ENSP00000169551;ENSP00000215570;ENSP00000248114;ENSP00000254616;ENSP00000255390;ENSP00000257245;ENSP00000261070;ENSP00000264954;ENSP00000270502;ENSP00000270538;ENSP00000295767;ENSP00000297185;ENSP00000299335;ENSP00000315693;ENSP00000320236;ENSP00000329558;ENSP00000347581;ENSP00000356256;ENSP00000360803;ENSP00000361993;ENSP00000363191;ENSP00000368523;ENSP00000370808;ENSP00000372005;ENSP00000378588;ENSP00000379999;ENSP00000438455;ENSP00000445806;ENSP00000464522
68	R1	e019_R1	TORC1 signaling / mTOR signaling pathway / Amino acids regulate mTORC1	GO:0038202	KEGG:04150	REAC:R-HSA-9639288	GO:0050789;GO:0050896;GO:0007154	ENSP00000170564;ENSP00000228799;ENSP00000232501;ENSP00000253063;ENSP00000256644;ENSP00000262144;ENSP00000262850;ENSP00000264433;ENSP00000278671;ENSP00000285071;ENSP00000293883;ENSP00000297145;ENSP00000307272;ENSP00000311486;ENSP00000337850;ENSP00000339881;ENSP00000343118;ENSP00000357288;ENSP00000358423;ENSP00000362092;ENSP00000369899;ENSP00000380074;ENSP00000383105;ENSP00000384183;ENSP00000402653;ENSP00000408576;ENSP00000421985;ENSP00000424183;ENSP00000457168;ENSP00000483814;ENSP00000484144;ENSP00000484732
69	R1	e019_R1	mitotic spindle midzone assembly	GO:0051256	NA	NA	GO:0050789;GO:0022607	ENSP00000171111;ENSP00000216455;ENSP00000246914;ENSP00000263753;ENSP00000284503;ENSP00000301633;ENSP00000302898;ENSP00000312397;ENSP00000313950;ENSP00000344547;ENSP00000351933;ENSP00000353701;ENSP00000359356;ENSP00000362146;ENSP00000377060;ENSP00000378295;ENSP00000433205;ENSP00000438465;ENSP00000443191
70	R1	e019_R1	focal adhesion assembly / Signaling by high-kinase activity BRAF mutants	GO:0048041	NA	REAC:R-HSA-6802948	GO:0022607;GO:0007155	ENSP00000171887;ENSP00000178640;ENSP00000211998;ENSP00000220003;ENSP00000220597;ENSP00000240123;ENSP00000240316;ENSP00000252699;ENSP00000276297;ENSP00000293677;ENSP00000311005;ENSP00000316029;ENSP00000319756;ENSP00000338171;ENSP00000352833;ENSP00000360293;ENSP00000360305;ENSP00000365411;ENSP00000367028;ENSP00000376123;ENSP00000377941;ENSP00000379839;ENSP00000385410;ENSP00000387246;ENSP00000422007;ENSP00000433102;ENSP00000453508;ENSP00000466363
71	R1	e019_R1	neuron projection guidance / Axon guidance / Netrin mediated repulsion signals	GO:0097485	KEGG:04360	REAC:R-HSA-418886	GO:0032989	ENSP00000173229;ENSP00000255416;ENSP00000293973;ENSP00000294485;ENSP00000298355;ENSP00000306190;ENSP00000332737;ENSP00000334329;ENSP00000337168;ENSP00000340998;ENSP00000341198;ENSP00000346671;ENSP00000351342;ENSP00000355014;ENSP00000356906;ENSP00000357036;ENSP00000360181;ENSP00000364847;ENSP00000383303;ENSP00000389140;ENSP00000406022;ENSP00000421280;ENSP00000449241;ENSP00000452414;ENSP00000462468
72	R1	e019_R1	tRNA aminoacylation for protein translation / Aminoacyl-tRNA biosynthesis / Cytosolic tRNA aminoacylation	GO:0006418	KEGG:00970	REAC:R-HSA-379716	GO:0016070;GO:0006412;GO:0006520;GO:0015031	ENSP00000173898;ENSP00000223029;ENSP00000229270;ENSP00000231572;ENSP00000257177;ENSP00000257909;ENSP00000262027;ENSP00000264161;ENSP00000267884;ENSP00000296277;ENSP00000305230;ENSP00000307567;ENSP00000308000;ENSP00000312066;ENSP00000325448;ENSP00000328023;ENSP00000342181;ENSP00000344401;ENSP00000346080;ENSP00000355890;ENSP00000360327;ENSP00000362413;ENSP00000362576;ENSP00000363308;ENSP00000363314;ENSP00000364794;ENSP00000369038;ENSP00000370950;ENSP00000377954;ENSP00000378191;ENSP00000381105;ENSP00000386655;ENSP00000389455;ENSP00000417240;ENSP00000418221;ENSP00000418401;ENSP00000424870;ENSP00000435370;ENSP00000451818;ENSP00000454746;ENSP00000454786;ENSP00000455229;ENSP00000464411;ENSP00000481697
73	R1	e019_R1	ERBB signaling pathway / ErbB signaling pathway / ERBB2 Activates PTK6 Signaling	GO:0038127	KEGG:04012	REAC:R-HSA-8847993	GO:0036211;GO:0050789;GO:0006793	ENSP00000175756;ENSP00000244869;ENSP00000267101;ENSP00000268679;ENSP00000269571;ENSP00000306670;ENSP00000313829;ENSP00000342235;ENSP00000354910;ENSP00000361214;ENSP00000361818;ENSP00000378367;ENSP00000379092;ENSP00000384620;ENSP00000403459;ENSP00000417498;ENSP00000442460;ENSP00000468927
74	R1	e019_R1	histone H2A-K119 monoubiquitination / RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	GO:0036353	NA	REAC:R-HSA-8939243	GO:0036211;GO:0050789	ENSP00000177694;ENSP00000225983;ENSP00000233630;ENSP00000328004;ENSP00000342510;ENSP00000344087;ENSP00000349076;ENSP00000356480;ENSP00000357979;ENSP00000366271;ENSP00000367705;ENSP00000368464;ENSP00000370803;ENSP00000384371;ENSP00000419494;ENSP00000437775;ENSP00000445704;ENSP00000453281
75	R1	e019_R1	complement activation / Neomycin, kanamycin and gentamicin biosynthesis / Terminal pathway of complement	GO:0006956	KEGG:00524	REAC:R-HSA-166665	GO:0006793;GO:0002376;GO:0007005;GO:0050789;GO:0050896	ENSP00000179259;ENSP00000223642;ENSP00000224181;ENSP00000225174;ENSP00000251691;ENSP00000263408;ENSP00000263413;ENSP00000265333;ENSP00000268704;ENSP00000269143;ENSP00000281456;ENSP00000290573;ENSP00000292432;ENSP00000295079;ENSP00000322061;ENSP00000346643;ENSP00000347197;ENSP00000354458;ENSP00000360281;ENSP00000361635;ENSP00000379191;ENSP00000402103;ENSP00000428845;ENSP00000441875;ENSP00000472620;ENSP00000479488
76	R1	e019_R1	phosphatidylinositol dephosphorylation / PI Metabolism	GO:0046856	NA	REAC:R-HSA-1483255	GO:0044255;GO:0006793	ENSP00000180173;ENSP00000221086;ENSP00000363985;ENSP00000371221
77	R1	e019_R1	coagulation / Complement and coagulation cascades / Common Pathway of Fibrin Clot Formation	GO:0050817	KEGG:04610	REAC:R-HSA-140875	GO:0050789;GO:0050896;GO:0050878;GO:0050817	ENSP00000181383;ENSP00000215727;ENSP00000216968;ENSP00000218099;ENSP00000219400;ENSP00000226279;ENSP00000233156;ENSP00000234071;ENSP00000234347;ENSP00000248076;ENSP00000251047;ENSP00000308541;ENSP00000313681;ENSP00000321326;ENSP00000334145;ENSP00000353393;ENSP00000356671;ENSP00000356771;ENSP00000364709;ENSP00000364731;ENSP00000366307;ENSP00000386651;ENSP00000415786;ENSP00000432218;ENSP00000457421;ENSP00000479536
78	R1	e019_R1	Basal transcription factors / RNA Polymerase II Promoter Escape	NA	KEGG:03022	REAC:R-HSA-73776	GO:0006354	ENSP00000181839;ENSP00000237264;ENSP00000256897;ENSP00000259895;ENSP00000261245;ENSP00000265073;ENSP00000265963;ENSP00000283875;ENSP00000285398;ENSP00000302276;ENSP00000308546;ENSP00000322343;ENSP00000328773;ENSP00000328901;ENSP00000340823;ENSP00000343515;ENSP00000348168;ENSP00000359531;ENSP00000374529;ENSP00000377969;ENSP00000379372;ENSP00000384597;ENSP00000398880;ENSP00000422626;ENSP00000422907;ENSP00000428426;ENSP00000445162;ENSP00000452454;ENSP00000473384;ENSP00000476100;ENSP00000484525
79	R1	e019_R1	ATP synthesis coupled electron transport / Oxidative phosphorylation / Respiratory electron transport	GO:0042773	KEGG:00190	REAC:R-HSA-611105	GO:0065003;GO:0022900;GO:0006119	ENSP00000184266;ENSP00000203407;ENSP00000215565;ENSP00000229379;ENSP00000233627;ENSP00000237889;ENSP00000246554;ENSP00000249269;ENSP00000252102;ENSP00000252711;ENSP00000258424;ENSP00000259037;ENSP00000260361;ENSP00000263578;ENSP00000263774;ENSP00000266544;ENSP00000268379;ENSP00000268668;ENSP00000270517;ENSP00000274137;ENSP00000276062;ENSP00000276689;ENSP00000281031;ENSP00000287490;ENSP00000292907;ENSP00000296684;ENSP00000299166;ENSP00000301457;ENSP00000309565;ENSP00000312618;ENSP00000315774;ENSP00000317159;ENSP00000317780;ENSP00000321260;ENSP00000322450;ENSP00000323076;ENSP00000327268;ENSP00000330737;ENSP00000330787;ENSP00000332887;ENSP00000339720;ENSP00000346196;ENSP00000351737;ENSP00000354499;ENSP00000354554;ENSP00000354665;ENSP00000354687;ENSP00000354728;ENSP00000354813;ENSP00000354961;ENSP00000354982;ENSP00000355046;ENSP00000355206;ENSP00000356972;ENSP00000358272;ENSP00000360492;ENSP00000360782;ENSP00000362060;ENSP00000362873;ENSP00000365243;ENSP00000367346;ENSP00000367938;ENSP00000367939;ENSP00000369176;ENSP00000389160;ENSP00000392709;ENSP00000417142;ENSP00000417656;ENSP00000418438;ENSP00000418803;ENSP00000418842;ENSP00000419087;ENSP00000423673;ENSP00000425759;ENSP00000428895;ENSP00000430494;ENSP00000432614;ENSP00000441126;ENSP00000452549;ENSP00000457513;ENSP00000467262;ENSP00000467266;ENSP00000485401
80	R1	e019_R1	chloride transport	GO:0006821	NA	NA	GO:0006811	ENSP00000185206;ENSP00000358460;ENSP00000363500
81	R1	e019_R1	intraciliary anterograde transport / Intraflagellar transport	GO:0035720	NA	REAC:R-HSA-5620924	GO:0051641;GO:0006810	ENSP00000194214;ENSP00000234160;ENSP00000238628;ENSP00000242591;ENSP00000243344;ENSP00000260570;ENSP00000262646;ENSP00000264020;ENSP00000264538;ENSP00000267622;ENSP00000296266;ENSP00000311899;ENSP00000312778;ENSP00000314444;ENSP00000320359;ENSP00000323580;ENSP00000347915;ENSP00000356782;ENSP00000362121;ENSP00000362424;ENSP00000380321;ENSP00000382717;ENSP00000386181;ENSP00000393541;ENSP00000404122;ENSP00000406012;ENSP00000419279;ENSP00000460850;ENSP00000464443
